ID,Year,Location,Latitude,Longitude,Ecosystem,Prior_land_use,Restoration_strategy
SB001,2006,China,24.78333333,113.6,Forest,Mining,Active restoration
SB002,2006,Netherlands,52.147,5.8777,Forest,Agriculture,Natural regeneration
SB003,2012,USA,43.07597,-107.29028,Grassland,Mining,Natural regeneration
SB004,2012,China,22.56666667,112.8333333,Forest,Deforestation,Active restoration
SB005,2013,China,36.8583333,109.3063889,Grassland,Agriculture,Natural regeneration
SB006,2014,China,23.12286111,113.9508,Grassland,Pasture,Natural regeneration
SB007,2015,UK,53.54,-1.87,Forest,Others,Active restoration
SB008,2015,China,24.71666667,102.5666667,Forest,Mining,Active restoration
SB009,2015,USA,39.7684,-86.1581,Forest,Mining,Natural regeneration
SB009,2015,USA,35.5175,-86.5804,Forest,Mining,Natural regeneration
SB009,2015,USA,43.0003,-107.5546,Grassland,Mining,Natural regeneration
SB009,2015,USA,40.6331,-89.3985,Grassland,Mining,Natural regeneration
SB010,2015,China,36.84166667,109.3230556,Grassland,Agriculture,Natural regeneration
SB011,2016,China,36.833333,109.5583333,Forest,Agriculture,Active restoration
SB012,2016,Brazil,-10.17186389,-62.78768611,Forest,Deforestation,Natural regeneration
SB013,2016,China,36.77638889,109.2294444,Forest,Agriculture,Active restoration
SB014,2016,Australia,-37,146,Forest,Agriculture,Active restoration
SB015,2016,Australia,-38.373,145.836,Forest,Pasture,Active restoration
SB016,2016,Australia,-37,146,Forest,Pasture,Active restoration
SB018,2016,China,32.75,111.2166667,Forest,Deforestation,Active restoration
SB020,2017,USA,36.961639,-82.720048,Forest,Mining,Active restoration
SB021,2017,China,35.75,109.916666,Forest,Erosion,Active restoration
SB022,2017,China,36.158333,106.46666,Grassland,Agriculture,Active restoration
SB023,2017,China,47.583333,133.516666,Grassland,Agriculture,Natural regeneration
SB024,2017,China,36.83333333,108.75,Forest,Agriculture,Active restoration
SB025,2017,China,36.76666667,109.2666667,Grassland,Agriculture,Natural regeneration
SB027,2018,China,36.225,106.4,Grassland,Pasture,Natural regeneration
SB028,2018,China,35.416666,108.283333,Forest,Agriculture,Active restoration
SB029,2018,China,34.816666,108.125,Forest,Agriculture,Active restoration
SB030,2018,China,34.816666,108.125,Forest,Deforestation,Active restoration
SB031,2018,China,24.908333,107.941666,Forest,Agriculture,Active restoration
SB032,2018,China,24.716666,102.566666,Forest,Mining,Active restoration
SB033,2018,China,46.483333,131.48333,Forest,Mining,Active restoration
SB034,2018,China,33.54455,107.8184,Forest,Agriculture,Natural regeneration
SB035,2018,China,34.555,107.9305556,Forest,Agriculture,Natural regeneration
SB037,2019,China,35.8333333,108.65,Forest,Agriculture,Natural regeneration
SB038,2019,USA,33.2,-81.4,Forest,Agriculture,Active restoration
SB040,2019,China,28.5833333,114.61666,Forest,Deforestation,Active restoration
SB041,2019,China,36.7763888,109.248472,Grassland,Agriculture,Active restoration
SB042,2019,China,21.463611,110.905,Forest,Erosion,Active restoration
SB043,2019,China,37.55,109.555,Grassland,Agriculture,Natural regeneration
SB044,2019,China,21.4,99.8,Forest,Agriculture,Active restoration
SB045,2019,Costa Rica,10.45158333,-84.27342222,Forest,Deforestation,Natural regeneration
SB047,2020,China,29.68111111,115.8225,Forest,Mining,Active restoration
SB048,2020,China,31.755,102.708,Grassland,Deforestation,Natural regeneration
SB049,2020,China,41.455833,123.638333,Forest,Mining,Active restoration
SB050,2020,China,35.141666,101.35,Grassland,Pasture,Natural regeneration
SB052,2020,China,43.033333,119.65,Grassland,Others,Natural regeneration
SB053,2020,China,36.075,109.158333,Forest,Agriculture,Natural regeneration
SB054,2020,China,36.8583333,109.341666,Forest,Agriculture,Natural regeneration
SB056,2020,China,34.158333,105.041666,Forest,Deforestation,Active restoration
SB057,2020,China,36.862608,109.352788,Forest,Agriculture,Active restoration
SB058,2020,China,39.276145,110.3190722,Grassland,Mining,Active restoration
SB059,2020,China,35.833333,108.733333,Forest,Agriculture,Natural regeneration
SB060,2020,China,24.9,107.95,Forest,Agriculture,Active restoration
SB061,2020,China,25.6488611,116.449,Forest,Erosion,Natural regeneration
SB062,2020,China,25.6488611,116.449,Grassland,Erosion,Active restoration
SB063,2020,China,37.71666667,107.35,Grassland,Pasture,Natural regeneration
SB064,2020,China,40.7425,122.8638889,Forest,Mining,Active restoration
SB066,2020,USA,39.62916667,-79.95611111,Grassland,Mining,Active restoration
SB068,2021,Papua New Guinea,-5.2405555,145.092222,Forest,Agriculture,Natural regeneration
SB069,2021,China,36.915,108.766944,Forest,Agriculture,Active restoration
SB070,2021,Papua New Guinea,-5.2405555,145.0930556,Forest,Agriculture,Natural regeneration
SB071,2021,Nepal,27.69,86,Forest,Agriculture,Natural regeneration
SB072,2021,China,31.6202777,107.247638,Forest,Monoculture plantation,Active restoration
SB073,2021,China,19.646666,110.966944,Forest,Mining,Active restoration
SB074,2021,China,26.73333,115.06666,Forest,Monoculture plantation,Active restoration
SB075,2021,China,32.35,91.6666,Grassland,Pasture,Natural regeneration
SB076,2021,China,23.1,103.68333,Forest,Agriculture,Natural regeneration
SB077,2021,China,22.05,106.85,Forest,Monoculture plantation,Active restoration
SB078,2021,China,28.4029972,115.79,Forest,Erosion,Active restoration
SB079,2021,China,26.22,110.32,Grassland,Pasture,Natural regeneration
SB080,2021,China,22.133333,106.816666,Forest,Monoculture plantation,Active restoration
SB081,2021,China,18.068333,108.841666,Forest,Deforestation,Natural regeneration
SB082,2021,China,27.0583333,105.158333,Forest,Deforestation,Active restoration
SB083,2021,China,25.1416666,108.283333,Forest,Agriculture,Natural regeneration
SB084,2021,China,49.5416667,117.541667,Forest,Mining,Natural regeneration
SB085,2021,China,28.391666,113.3666,Forest,Monoculture plantation,Natural regeneration
SB086,2021,China,31.53575,102.434333,Forest,Deforestation,Natural regeneration
SB088,2021,China,39.71666667,111.2166667,Grassland,Mining,Active restoration
SB089,2021,China,36.8644,109.3293,Forest,Agriculture,Active restoration
SB090,2022,China,36.01222222,109.0155556,Forest,Agriculture,Natural regeneration
SB091,2022,China,46.0583,119.2833,Grassland,Pasture,Active restoration
SB092,2022,China,26.265,106.065,Forest,Agriculture,Active restoration
SB092,2022,China,26.265,106.065,Forest,Agriculture,Active restoration
