ID,Restoration_strategy,Restoration_time
SB001,Active,2
SB001,Active,3
SB001,Active,5
SB002,Passive,18
SB003,Passive,1.5
SB003,Passive,5
SB003,Passive,10
SB003,Passive,14
SB003,Passive,16
SB003,Passive,26
SB004,Active,2
SB004,Active,4
SB004,Active,5
SB005,Passive,3
SB005,Passive,5
SB005,Passive,10
SB005,Passive,13
SB005,Passive,15
SB005,Passive,20
SB005,Passive,30
SB006,Passive,20
SB006,Active,20
SB007,Active,2
SB007,Active,1
SB007,Active,25
SB008,Active,2
SB008,Active,23
SB008,Active,30
SB009,Passive,17.5
SB009,Passive,3.5
SB010,Passive,3
SB010,Passive,5
SB010,Passive,10
SB010,Passive,13
SB011,Active,30
SB011,Passive,30
SB012,Passive,17
SB012,Passive,12
SB013,Active,40
SB014,Active,9
SB014,Active,10
SB014,Active,14
SB014,Active,23
SB015,Active,15
SB016,Active,17
SB016,Active,10
SB016,Active,30
SB016,Active,9
SB016,Active,18
SB016,Active,31
SB018,Active,15
SB020,Active,11
SB020,Active,21
SB020,Active,30
SB020,Active,5
SB021,Active,12
SB021,Active,29
SB021,Active,53
SB022,Active,18
SB022,Active,28
SB023,Passive,12
SB023,Passive,6
SB024,Active,17
SB024,Passive,17
SB024,Passive,78
SB024,Active,78
SB025,Passive,5
SB025,Passive,10
SB025,Passive,15
SB025,Passive,20
SB025,Passive,30
SB027,Passive,10
SB027,Passive,25
SB027,Passive,35
SB028,Active,15
SB028,Active,30
SB028,Active,45
SB029,Active,5
SB029,Active,15
SB029,Active,25
SB029,Active,35
SB030,Active,26
SB031,Active,15
SB032,Active,7.5
SB032,Active,17.5
SB033,Active,10
SB034,Passive,9
SB034,Passive,16.2
SB034,Passive,52.4
SB035,Passive,10
SB035,Passive,20
SB035,Passive,30
SB037,Passive,11
SB037,Passive,35
SB037,Passive,60
SB037,Passive,100
SB037,Passive,150
SB038,Active,60
SB040,Active,30
SB041,Active,17
SB041,Active,27
SB041,Active,42
SB042,Active,57
SB043,Passive,3
SB043,Passive,8
SB043,Passive,13
SB043,Passive,18
SB043,Passive,23
SB043,Passive,30
SB044,Active,31
SB045,Passive,10
SB047,Active,3
SB047,Active,4
SB048,Passive,38
SB048,Passive,58
SB049,Active,6
SB050,Passive,5
SB050,Passive,10
SB050,Passive,15
SB052,Passive,12
SB052,Passive,30
SB053,Passive,30
SB053,Passive,60
SB053,Passive,120
SB054,Passive,10
SB054,Passive,20
SB054,Passive,30
SB054,Passive,40
SB054,Passive,50
SB056,Active,43
SB057,Active,13
SB057,Active,29
SB057,Active,44
SB058,Active,5
SB059,Passive,30
SB059,Passive,60
SB059,Passive,110
SB060,Active,15
SB060,Passive,15
SB061,Passive,4
SB061,Passive,7
SB061,Passive,10
SB061,Passive,13
SB061,Passive,35
SB062,Active,10
SB062,Active,15
SB062,Active,25
SB062,Active,40
SB063,Passive,8
SB064,Active,12
SB066,Active,2
SB066,Active,10
SB066,Active,15
SB066,Active,32
SB068,Passive,60
SB068,Passive,7.5
SB068,Passive,30
SB069,Active,17
SB069,Active,28
SB069,Active,34
SB069,Active,45
SB069,Passive,45
SB070,Passive,7.5
SB070,Passive,30
SB070,Passive,60
SB071,Passive,5
SB071,Passive,17.5
SB071,Passive,35
SB072,Active,2
SB073,Active,5
SB074,Active,12
SB075,Passive,9
SB075,Active,9
SB076,Passive,3
SB076,Passive,6
SB076,Passive,20
SB076,Passive,40
SB077,Active,11
SB078,Active,1
SB078,Active,6
SB078,Active,11
SB078,Active,16
SB079,Passive,5
SB079,Passive,10
SB079,Passive,15
SB079,Passive,25
SB079,Passive,30
SB080,Active,13
SB081,Passive,30
SB081,Passive,35.5
SB082,Active,10
SB082,Active,16
SB082,Active,22
SB082,Active,47
SB082,Passive,47
SB083,Passive,10
SB083,Passive,29
SB083,Passive,59
SB084,Passive,1
SB084,Passive,2
SB084,Passive,5
SB084,Passive,10
SB084,Passive,15
SB084,Active,15
SB085,Passive,14
SB085,Passive,49
SB086,Passive,1
SB086,Passive,10
SB086,Passive,20
SB088,Active,5
SB088,Active,10
SB088,Active,15
SB088,Active,20
SB089,Active,29
SB090,Passive,110
SB090,Passive,30
SB090,Passive,15
SB090,Passive,50
SB091,Active,4
SB092,Active,15
SB092,Passive,15
SB093,Active,10
SB094,Active,4
SB094,Active,6
SB094,Active,9
SB094,Active,14
SB095,Active,12
SB096,Active,2.5
SB097,Active,6
SB098,Active,1
SB098,Active,5
SB098,Active,10
SB099,Active,2
SB100,Active,1.5
SB100,Active,15
SB101,Passive,24
SB101,Active,24
SB102,Passive,30
SB102,Passive,40
SB102,Passive,55
SB103,Passive,3
SB104,Active,7
SB105,Active,50
SB106,Active,3
SB106,Active,4
SB107,Active,37
SB108,Passive,10
SB108,Passive,20
SB108,Passive,40
SB109,Active,8
SB110,Active,59
SB111,Active,15
SB112,Passive,6
SB113,Passive,15
SB113,Passive,30
SB113,Passive,50
SB113,Passive,110
SB114,Passive,30
SB115,Passive,8
SB115,Passive,33
SB115,Passive,40
SB116,Active,25
SB116,Active,40
SB116,Active,50
SB116,Active,75
SB117,Passive,20
SB117,Passive,32
SB117,Passive,47
SB117,Passive,61
SB118,Active,2.5
SB118,Active,11
SB118,Active,16
SB119,Active,4
SB120,Passive,1
SB120,Passive,2
SB120,Passive,20
SB121,Active,14
SB122,Active,5
SB123,Active,40
SB123,Active,20
SB124,Active,20
SB125,Active,3
SB127,Active,4
SB128,Passive,2
SB128,Passive,5
SB128,Passive,10
SB128,Passive,15
SB130,Active,7
SB130,Active,13
SB130,Active,23
SB131,Passive,9
SB132,Active,57
SB133,Active,31
SB133,Active,48
SB135,Active,6
SB135,Active,15
SB135,Active,25
SB135,Active,32
SB135,Active,50
SB136,Passive,7
SB136,Passive,21
SB136,Active,7
SB137,Active,17.5
SB138,Active,15
SB138,Passive,15
SB140,Passive,33
SB141,Active,59
SB142,Active,5
SB142,Active,10
SB143,Passive,5
SB143,Passive,10
SB143,Passive,15
SB143,Passive,25
SB143,Passive,30
SB144,Active,2
SB145,Active,45
SB145,Active,35
SB145,Active,25
SB145,Active,15
SB146,Active,25
SB147,Active,35
SB147,Passive,34
SB148,Passive,5
SB148,Passive,13
SB148,Passive,22
SB148,Passive,39
SB149,Passive,15
SB149,Passive,20
SB149,Passive,40
SB150,Active,5
SB150,Active,14
SB150,Active,16
SB150,Active,19
SB151,Passive,20
SB152,Passive,2
SB152,Passive,10
SB152,Passive,20
SB153,Passive,22
SB154,Active,24
SB155,Active,43
SB156,Active,15
SB156,Active,12
SB157,Active,4
SB157,Active,7
SB157,Active,11
SB158,Passive,10
SB158,Passive,20
SB158,Passive,30
SB158,Passive,40
SB158,Passive,50
SB159,Active,18
SB160,Passive,2
SB160,Passive,8
SB161,Passive,20
SB162,Passive,5
SB162,Passive,15
SB162,Passive,20
SB162,Passive,40
SB163,Active,11
SB164,Passive,40
SB165,Passive,16
SB165,Passive,23
SB165,Passive,59
SB166,Passive,40
SB166,Active,40
SB170,Passive,5
SB170,Passive,15
SB170,Passive,28
SB170,Passive,36
SB171,Active,2
SB171,Active,6
SB172,Active,3
SB173,Passive,23
SB173,Passive,47
SB173,Passive,68
SB174,Active,50
SB174,Active,35
SB175,Active,44
SB176,Passive,3.5
SB176,Passive,8
SB176,Passive,19.5
SB177,Active,37
SB179,Active,7
SB180,Active,4
SB182,Active,7
SB183,Active,64
SB183,Active,10
SB183,Active,30
SB183,Active,50
SB184,Active,5
SB184,Active,10
SB185,Active,17.5
SB186,Passive,20
SB186,Passive,40
