"Metric","Ecosystem","k","lnRR","SE","ci.lb","ci.ub","pval","Percent_Change"
"OTU richness","Forest",84,0.137,0.059,0.021,0.254,0.0209,14.7
"OTU richness","Grassland",71,0.171,0.047,0.079,0.264,3e-04,18.7
"Chao1 richness","Forest",100,0.078,0.046,-0.013,0.169,0.0913,8.2
"Chao1 richness","Grassland",77,0.104,0.036,0.035,0.174,0.0034,11
"Shannon index","Forest",159,0.042,0.029,-0.014,0.099,0.1423,4.3
"Shannon index","Grassland",94,0.051,0.016,0.018,0.083,0.0021,5.2
"Simpson index","Forest",39,0.06,0.041,-0.02,0.141,0.1431,6.2
"Simpson index","Grassland",26,-0.025,0.04,-0.103,0.053,0.5377,-2.4
"Ascomycota","Forest",146,-0.168,0.049,-0.264,-0.072,6e-04,-15.4
"Ascomycota","Grassland",76,-0.075,0.065,-0.202,0.051,0.2435,-7.3
"Basidiomycota","Forest",150,0.45,0.11,0.234,0.667,0,56.9
"Basidiomycota","Grassland",66,0.225,0.153,-0.074,0.525,0.1398,25.3
"Beta diversity","Forest",150,0.151,0.083,-0.012,0.313,0.0689,16.3
"Beta diversity","Grassland",77,0.041,0.138,-0.229,0.31,0.768,4.1
"Structure","Forest",150,0.546,0.091,0.366,0.725,0,72.6
"Structure","Grassland",77,0.439,0.122,0.201,0.678,3e-04,55.2
"PLFA content","Forest",94,0.712,0.21,0.3,1.124,7e-04,103.8
"PLFA content","Grassland",29,0.215,0.285,-0.344,0.773,0.4513,23.9
