"Metric","Ecosystem","k","lnRR","SE","ci.lb","ci.ub","pval","Percent_Change"
"OTU richness","Forest",36,-0.045,0.051,-0.146,0.055,0.3771,-4.4
"OTU richness","Grassland",32,0.024,0.07,-0.112,0.16,0.7299,2.4
"Chao1 richness","Forest",58,-0.03,0.079,-0.185,0.126,0.7096,-2.9
"Chao1 richness","Grassland",19,0.17,0.092,-0.011,0.35,0.0655,18.5
"Shannon index","Forest",69,-0.019,0.044,-0.105,0.068,0.6708,-1.9
"Shannon index","Grassland",35,0.066,0.061,-0.053,0.185,0.2762,6.8
"Simpson index","Forest",37,-0.179,0.112,-0.398,0.041,0.1104,-16.4
"Simpson index","Grassland",15,-0.405,0.252,-0.898,0.088,0.1073,-33.3
"Ascomycota","Forest",64,0.079,0.091,-0.099,0.257,0.3851,8.2
"Ascomycota","Grassland",28,-0.103,0.213,-0.519,0.314,0.629,-9.8
"Basidiomycota","Forest",65,-0.301,0.146,-0.587,-0.015,0.0392,-26
"Basidiomycota","Grassland",28,0.18,0.271,-0.352,0.711,0.508,19.7
"Beta diversity","Forest",63,-0.21,0.172,-0.547,0.127,0.2219,-18.9
"Beta diversity","Grassland",26,-0.044,0.153,-0.345,0.256,0.7729,-4.3
"Structure","Forest",63,0.324,0.158,0.014,0.633,0.0406,38.2
"Structure","Grassland",26,0.758,0.206,0.354,1.162,2e-04,113.4
"PLFA content","Forest",45,-0.47,0.157,-0.778,-0.163,0.0027,-37.5
"PLFA content","Grassland",12,-0.244,0.172,-0.581,0.093,0.1555,-21.6
