Prior_land_use,K,Estimate,ci.lb,ci.ub,pval,Percentage,Perc_lb,Perc_ub,Significance,Metrics
Agriculture,56,0.067,-0.051,0.185,0.263998055,6.90%,-4.90%,20.30%,,OTU richness
Deforestation,18,-0.169,-0.352,0.015,0.071243172,-15.50%,-29.70%,1.50%,,OTU richness
Mining,17,0.438,0.253,0.624,3.66613162185725e-06,55%,28.70%,86.60%,*,OTU richness
Monoculture plantation,13,0.074,-0.13,0.277,0.477641905,7.70%,-12.20%,32%,,OTU richness
Pasture,51,0.045,-0.066,0.155,0.428341372,4.60%,-6.40%,16.80%,,OTU richness
Agriculture,65,0.1,0.011,0.188,0.026730206,10.50%,1.20%,20.70%,*,Chao1 richness
Deforestation,19,-0.264,-0.429,-0.099,0.001744383,-23.20%,-34.90%,-9.40%,*,Chao1 richness
Mining,24,0.169,0.025,0.312,0.021367836,18.40%,2.50%,36.60%,*,Chao1 richness
Monoculture plantation,18,-0.027,-0.158,0.105,0.691321835,-2.60%,-14.60%,11%,,Chao1 richness
Pasture,40,0.116,0.002,0.231,0.046402181,12.30%,0.20%,26%,*,Chao1 richness
Erosion,15,0.612,0.428,0.797,8.12004362081482e-11,84.50%,53.40%,121.90%,*,Chao1 richness
Agriculture,99,0.073,0.016,0.131,0.012686155,7.60%,1.60%,14%,*,Shannon index
Deforestation,23,-0.08,-0.184,0.024,0.132090527,-7.70%,-16.80%,2.40%,,Shannon index
Mining,27,0.079,-0.036,0.194,0.176837138,8.30%,-3.50%,21.50%,,Shannon index
Monoculture plantation,23,0.037,-0.062,0.136,0.462058766,3.80%,-6%,14.50%,,Shannon index
Pasture,60,0.087,0.011,0.162,0.02437908,9.10%,1.10%,17.60%,*,Shannon index
Erosion,21,0.217,0.102,0.333,0.000224672,24.30%,10.70%,39.50%,*,Shannon index
Agriculture,19,-0.063,-0.326,0.201,0.640794756,-6.10%,-27.80%,22.20%,,Simpson index
Deforestation,10,-0.261,-0.565,0.043,0.091901884,-23%,-43.20%,4.30%,,Simpson index
Mining,18,0.115,-0.134,0.365,0.364404035,12.20%,-12.50%,44%,,Simpson index
Pasture,13,-0.017,-0.297,0.264,0.907755108,-1.60%,-25.70%,30.20%,,Simpson index
Agriculture,101,-0.165,-0.292,-0.037,0.011177093,-15.20%,-25.30%,-3.70%,*,Ascomycota
Deforestation,24,-0.148,-0.354,0.057,0.157682085,-13.80%,-29.80%,5.90%,,Ascomycota
Mining,26,0.171,-0.061,0.403,0.148513136,18.60%,-5.90%,49.60%,,Ascomycota
Monoculture plantation,21,-0.24,-0.466,-0.014,0.037035327,-21.30%,-37.20%,-1.40%,*,Ascomycota
Pasture,36,-0.124,-0.323,0.075,0.221149678,-11.70%,-27.60%,7.70%,,Ascomycota
Erosion,17,-0.17,-0.43,0.091,0.201608441,-15.60%,-34.90%,9.50%,,Ascomycota
Agriculture,100,0.558,0.285,0.832,6.18898059001158e-05,74.80%,33%,129.70%,*,Basidiomycota
Deforestation,25,0.254,-0.211,0.719,0.284461258,28.90%,-19%,105.10%,,Basidiomycota
Mining,26,-0.025,-0.547,0.498,0.925961571,-2.40%,-42.10%,64.50%,,Basidiomycota
Monoculture plantation,21,0.205,-0.28,0.691,0.407393385,22.80%,-24.40%,99.50%,,Basidiomycota
Pasture,28,0.149,-0.291,0.589,0.506686244,16.10%,-25.20%,80.20%,,Basidiomycota
Erosion,18,0.75,0.186,1.314,0.00916507,111.70%,20.40%,272.10%,*,Basidiomycota
Agriculture,85,-0.164,-0.426,0.098,0.219303172,-15.10%,-34.70%,10.30%,,Beta diversity
Deforestation,20,0.135,-0.306,0.576,0.549234118,14.40%,-26.40%,77.90%,,Beta diversity
Mining,33,-0.118,-0.523,0.288,0.570120271,-11.10%,-40.70%,33.40%,,Beta diversity
Monoculture plantation,21,0.234,-0.159,0.626,0.243011392,26.30%,-14.70%,87%,,Beta diversity
Pasture,50,-0.166,-0.514,0.182,0.35033917,-15.30%,-40.20%,20%,,Beta diversity
Erosion,20,0.474,-0.003,0.951,0.051425754,60.70%,-0.30%,158.90%,,Beta diversity
Agriculture,86,1.039,0.746,1.332,3.75505907483139e-12,182.60%,110.80%,278.80%,*,Community structure
Deforestation,20,0.481,-0.056,1.019,0.07909422,61.80%,-5.40%,177%,,Community structure
Mining,33,1.149,0.641,1.658,9.51677459105354e-06,215.70%,89.80%,425%,*,Community structure
Monoculture plantation,21,0.246,-0.233,0.725,0.313388201,27.90%,-20.80%,106.50%,,Community structure
Pasture,45,0.746,0.363,1.13,0.000136554,110.90%,43.70%,209.40%,*,Community structure
Erosion,17,0.845,0.229,1.461,0.007156425,132.80%,25.80%,331%,*,Community structure
Agriculture,57,0.607,0.084,1.13,0.02285908,83.50%,8.80%,209.50%,*,PLFA content
Deforestation,10,0.245,-0.703,1.193,0.612183803,27.80%,-50.50%,229.70%,,PLFA content
Mining,32,2.22,1.393,3.047,1.43514226390537e-07,820.90%,302.70%,2005.80%,*,PLFA content
