"Restoration_strategy","K","Estimate","ci.lb","ci.ub","pval","Percentage","Perc_lb","Perc_ub","Significance","Metrics"
"Passive",71,0.061,-0.061,0.184,0.325435644021166,6.3,-5.9,20.2,"","OTU richness"
"Active",82,0.082,-0.04,0.204,0.186341397903547,8.6,-3.9,22.6,"","OTU richness"
"Passive",69,0.155,0.064,0.247,0.000870608069950858,16.8,6.6,28,"*","Chao1 richness"
"Active",109,0.097,0.008,0.185,0.0323789169380487,10.2,0.8,20.4,"*","Chao1 richness"
"Passive",98,0.055,-0.005,0.115,0.074036888604955,5.6,-0.5,12.2,"","Shannon index"
"Active",153,0.044,-0.016,0.104,0.147833268136381,4.5,-1.5,10.9,"","Shannon index"
"Passive",24,0.28,-0.005,0.566,0.0539082909231485,32.4,-0.5,76.1,"","Simpson index"
"Active",42,-0.109,-0.385,0.167,0.437636138796834,-10.3,-32,18.1,"","Simpson index"
"Passive",79,-0.193,-0.323,-0.063,0.00354306371161614,-17.6,-27.6,-6.1,"*","Ascomycota"
"Active",143,-0.177,-0.306,-0.048,0.00706070386413752,-16.2,-26.3,-4.7,"*","Ascomycota"
"Passive",74,0.544,0.268,0.82,0.000111200549707639,72.2,30.7,126.9,"*","Basidiomycota"
"Active",142,0.548,0.273,0.823,9.5223307180234e-05,73,31.4,127.7,"*","Basidiomycota"
"Passive",88,-0.024,-0.286,0.237,0.855434443586601,-2.4,-24.9,26.8,"","Beta diversity"
"Active",138,-0.153,-0.418,0.111,0.254571012419344,-14.2,-34.1,11.7,"","Beta diversity"
"Passive",89,0.641,0.38,0.903,1.50538869294071e-06,89.9,46.2,146.6,"*","Structure"
"Active",138,0.757,0.494,1.019,1.6702585800391e-08,113.1,63.9,177.1,"*","Structure"
"Passive",35,1.085,0.552,1.617,6.65648685880751e-05,195.8,73.6,404,"*","PLFA content"
"Active",89,0.637,0.105,1.169,0.0188723154152602,89.1,11.1,221.9,"*","PLFA content"
