"Restoration_strategy","K","Estimate","ci.lb","ci.ub","pval","Percentage","Perc_lb","Perc_ub","Significance","Metrics"
"Passive",31,-0.172,-0.36,0.016,0.0725484242701071,-15.8,-30.2,1.6,"","OTU richness"
"Active",36,-0.197,-0.385,-0.009,0.0394812103298259,-17.9,-31.9,-0.9,"*","OTU richness"
"Passive",38,-0.01,-0.272,0.251,0.938825332811059,-1,-23.8,28.6,"","Chao1 richness"
"Active",38,-0.015,-0.281,0.251,0.913267943474057,-1.5,-24.5,28.6,"","Chao1 richness"
"Passive",52,0.014,-0.148,0.175,0.868111541763243,1.4,-13.7,19.2,"","Shannon index"
"Active",49,-0.04,-0.223,0.144,0.672281840544746,-3.9,-20,15.5,"","Shannon index"
"Passive",21,-0.373,-1.091,0.345,0.308403465281626,-31.1,-66.4,41.2,"","Simpson index"
"Active",32,-0.084,-0.77,0.602,0.809420593906858,-8.1,-53.7,82.5,"","Simpson index"
"Passive",47,-0.354,-0.894,0.187,0.199804818263882,-29.8,-59.1,20.6,"","Ascomycota"
"Active",44,-0.253,-0.796,0.291,0.362153678443965,-22.3,-54.9,33.8,"","Ascomycota"
"Passive",48,0.251,-0.482,0.984,0.502301463498588,28.5,-38.3,167.6,"","Basidiomycota"
"Active",45,-0.041,-0.777,0.694,0.91235437138905,-4,-54,100.2,"","Basidiomycota"
"Passive",42,-0.6,-1.132,-0.068,0.0270259937680626,-45.1,-67.7,-6.6,"*","Beta diversity"
"Active",47,-0.868,-1.489,-0.246,0.00622436399972714,-58,-77.4,-21.8,"*","Beta diversity"
"Passive",42,0.416,-0.104,0.936,0.11684197249495,51.6,-9.9,155.1,"","Structure"
"Active",47,0.769,0.196,1.343,0.00854091424674198,115.8,21.7,283,"*","Structure"
"Passive",34,-0.682,-1.245,-0.12,0.0174681199480554,-49.5,-71.2,-11.3,"*","PLFA Biomass"
"Active",23,-0.75,-1.331,-0.17,0.0112595776948089,-52.8,-73.6,-15.6,"*","PLFA Biomass"
