ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB130,Forest,Monoculture plantation,Active,7,Ascomycota,Relative abundance,0.42,0.3,0.155884573,0.16,3,4
SB130,Forest,Monoculture plantation,Active,13,Ascomycota,Relative abundance,0.42,0.3,0.034641016,0.16,3,4
SB130,Forest,Monoculture plantation,Active,23,Ascomycota,Relative abundance,0.44,0.3,0.08660254,0.16,3,4
SB140,Grassland,Pasture,Passive,33,Ascomycota,Relative abundance,0.21,0.3,0.021,0.03,9,9
SB030,Forest,Deforestation,Active,26,Ascomycota,Relative abundance,0.255,0.333,0.033941125,0.072,8,9
SB186,Grassland,Pasture,Passive,20,Ascomycota,Relative abundance,0.31,0.354,0.048,0.067082039,4,5
SB186,Grassland,Pasture,Passive,40,Ascomycota,Relative abundance,0.253,0.354,0.0426,0.067082039,4,5
SB078,Forest,Erosion,Active,1,Ascomycota,Relative abundance,0.323,0.362,0.223434554,0.47,3,4
SB078,Forest,Erosion,Active,6,Ascomycota,Relative abundance,0.21,0.362,0.081406388,0.47,3,4
SB078,Forest,Erosion,Active,11,Ascomycota,Relative abundance,0.496,0.362,0.410496041,0.47,3,4
SB078,Forest,Erosion,Active,16,Ascomycota,Relative abundance,0.203,0.362,0.08660254,0.47,3,4
SB127,Grassland,Pasture,Active,4,Ascomycota,Relative abundance,0.638,0.686,0.237290961,0.332,3,4
SB006,Grassland,Pasture,Passive,20,Ascomycota,Relative abundance,5,8,0.5,0.8,3,3
SB006,Grassland,Pasture,Active,20,Ascomycota,Relative abundance,20,8,2,0.8,3,3
SB006,Grassland,Pasture,Active,20,Ascomycota,Relative abundance,10,8,1,0.8,3,3
SB006,Grassland,Pasture,Active,20,Ascomycota,Relative abundance,10,8,1,0.8,3,3
SB183,Forest,Deforestation,Active,10,Ascomycota,Relative abundance,8,22,0.8,2.2,15,15
SB183,Forest,Deforestation,Active,30,Ascomycota,Relative abundance,10,22,1,2.2,15,15
SB183,Forest,Deforestation,Active,50,Ascomycota,Relative abundance,16,22,1.6,2.2,15,15
SB058,Grassland,Mining,Active,5,Ascomycota,Relative abundance,42,25,4.2,2.5,3,4
SB058,Grassland,Mining,Active,5,Ascomycota,Relative abundance,73,25,7.3,2.5,3,4
SB058,Grassland,Mining,Active,5,Ascomycota,Relative abundance,57,25,5.7,2.5,3,4
SB058,Grassland,Mining,Active,5,Ascomycota,Relative abundance,58,25,5.8,2.5,3,4
SB058,Grassland,Mining,Active,5,Ascomycota,Relative abundance,62,25,6.2,2.5,3,4
SB058,Grassland,Mining,Active,5,Ascomycota,Relative abundance,65,25,6.5,2.5,3,4
SB115,Forest,Agriculture,Passive,8,Ascomycota,Relative abundance,62,26,6.2,2.6,2,3
SB115,Forest,Agriculture,Passive,33,Ascomycota,Relative abundance,35,26,3.5,2.6,2,3
SB115,Forest,Agriculture,Passive,40,Ascomycota,Relative abundance,29,26,2.9,2.6,2,3
SB174,Forest,Deforestation,Active,50,Ascomycota,Relative abundance,55,27,5.5,2.7,4,4
SB174,Forest,Deforestation,Active,35,Ascomycota,Relative abundance,50,27,5,2.7,4,4
SB184,Grassland,Pasture,Active,5,Ascomycota,Relative abundance,30,30,3,3,9,8
SB184,Grassland,Pasture,Active,10,Ascomycota,Relative abundance,37.5,30,3.75,3,6,8
SB141,Forest,Deforestation,Active,59,Ascomycota,Relative abundance,30,32.5,3,3.25,15,15
SB141,Forest,Deforestation,Active,59,Ascomycota,Relative abundance,2.5,32.5,0.25,3.25,15,15
SB141,Forest,Deforestation,Active,59,Ascomycota,Relative abundance,15,32.5,1.5,3.25,15,15
SB024,Forest,Agriculture,Passive,17,Ascomycota,Relative abundance,48,34,4.8,3.4,3,3
SB024,Forest,Agriculture,Active,17,Ascomycota,Relative abundance,47,34,4.7,3.4,3,3
