ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB183,Forest,Deforestation,Active,64,Ascomycota,Relative abundance,22,7,2.2,0.7,5,5
SB183,Forest,Deforestation,Active,64,Ascomycota,Relative abundance,10,7,1,0.7,5,5
SB165,Forest,Deforestation,Passive,16,Ascomycota,Relative abundance,10,13,1,1.3,5,5
SB165,Forest,Deforestation,Passive,23,Ascomycota,Relative abundance,18.5,13,1.85,1.3,5,5
SB165,Forest,Deforestation,Passive,59,Ascomycota,Relative abundance,13,13,1.3,1.3,5,5
SB048,Grassland,Deforestation,Passive,38,Ascomycota,Relative abundance,55,15,5.5,1.5,3,3
SB048,Grassland,Deforestation,Passive,58,Ascomycota,Relative abundance,20,15,2,1.5,3,3
SB166,Forest,Deforestation,Passive,40,Ascomycota,Relative abundance,37.11,15.31,15.18290157,6.97653209,5,5
SB166,Forest,Deforestation,Active,40,Ascomycota,Relative abundance,55.57,15.31,8.608861713,6.97653209,5,5
SB112,Forest,Deforestation,Passive,6,Ascomycota,Relative abundance,12.5,22,1.25,2.2,3,3
SB112,Forest,Deforestation,Passive,6,Ascomycota,Relative abundance,17.5,22,1.75,2.2,3,3
SB112,Forest,Deforestation,Passive,6,Ascomycota,Relative abundance,29,22,2.9,2.2,3,3
SB112,Forest,Deforestation,Passive,6,Ascomycota,Relative abundance,10,22,1,2.2,3,3
SB177,Forest,Erosion,Active,37,Ascomycota,Relative abundance,44,25,4.4,2.5,3,3
SB117,Forest,Deforestation,Passive,20,Ascomycota,Relative abundance,20,34,2,3.4,3,3
SB117,Forest,Deforestation,Passive,32,Ascomycota,Relative abundance,20,34,2,3.4,3,3
SB117,Forest,Deforestation,Passive,47,Ascomycota,Relative abundance,30,34,3,3.4,3,3
SB117,Forest,Deforestation,Passive,61,Ascomycota,Relative abundance,26,34,2.6,3.4,3,3
SB097,Forest,Pasture,Active,6,Ascomycota,Relative abundance,37,38,3.7,3.8,9,9
SB120,Forest,Others,Passive,1,Ascomycota,Relative abundance,57,38,5.7,3.8,4,4
SB120,Forest,Others,Passive,2,Ascomycota,Relative abundance,62,38,6.2,3.8,4,4
SB120,Forest,Mining,Passive,2,Ascomycota,Relative abundance,56,38,5.6,3.8,4,4
SB120,Forest,Others,Passive,20,Ascomycota,Relative abundance,37,38,3.7,3.8,4,4
SB160,Grassland,Agriculture,Passive,2,Ascomycota,Relative abundance,40,40.5,4,4.05,3,3
SB160,Grassland,Agriculture,Passive,8,Ascomycota,Relative abundance,54,40.5,5.4,4.05,3,3
SB081,Forest,Deforestation,Passive,30,Ascomycota,Relative abundance,25,45,2.5,4.5,25,19
SB081,Forest,Deforestation,Passive,35.5,Ascomycota,Relative abundance,28,45,2.8,4.5,17,19
