ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB030,Forest,Deforestation,Active,26,Basidiomycota,Relative abundance,0.576,0.597,0.070710678,0.065053824,8,8
SB093,Forest,Mining,Active,10,Basidiomycota,Relative abundance,20.575,4.572,2.0575,0.4572,7,7
SB093,Forest,Mining,Active,10,Basidiomycota,Relative abundance,7.079,4.572,0.7079,0.4572,7,7
SB093,Forest,Mining,Active,10,Basidiomycota,Relative abundance,31.047,4.572,3.1047,0.4572,7,7
SB093,Forest,Mining,Active,10,Basidiomycota,Relative abundance,14.122,4.572,1.4122,0.4572,7,7
SB093,Forest,Mining,Active,10,Basidiomycota,Relative abundance,4.4247,4.572,0.44247,0.4572,7,7
SB160,Grassland,Agriculture,Passive,2,Basidiomycota,Relative abundance,14,5,1.4,0.5,3,3
SB160,Grassland,Agriculture,Passive,8,Basidiomycota,Relative abundance,6,5,0.6,0.5,3,3
SB104,Forest,Agriculture,Active,7,Basidiomycota,Relative abundance,86,6,8.6,0.6,3,3
SB151,Grassland,Pasture,Passive,20,Basidiomycota,Relative abundance,4.243,6.677,0.926647182,0.859097201,3,3
SB075,Grassland,Pasture,Passive,9,Basidiomycota,Relative abundance,52,8,5.2,0.8,5,5
SB075,Grassland,Pasture,Active,9,Basidiomycota,Relative abundance,40,8,4,0.8,5,5
SB050,Grassland,Pasture,Passive,5,Basidiomycota,Relative abundance,26.379,8.038,9.138300061,4.785656381,3,3
SB050,Grassland,Pasture,Passive,10,Basidiomycota,Relative abundance,11.304,8.038,2.175455814,4.785656381,3,3
SB050,Grassland,Pasture,Passive,15,Basidiomycota,Relative abundance,15.575,8.038,4.785656381,4.785656381,3,3
SB119,Grassland,Mining,Active,4,Basidiomycota,Relative abundance,8,10,0.8,1,5,5
SB119,Grassland,Mining,Active,4,Basidiomycota,Relative abundance,12,10,1.2,1,5,5
SB128,Grassland,Mining,Passive,2,Basidiomycota,Relative abundance,93.045,10.591,3.97,5.372,4,4
SB128,Grassland,Mining,Passive,5,Basidiomycota,Relative abundance,84.418,10.591,2.14,5.372,4,4
SB128,Grassland,Mining,Passive,10,Basidiomycota,Relative abundance,70.635,10.591,1.998,5.372,4,4
SB128,Grassland,Mining,Passive,15,Basidiomycota,Relative abundance,73.705,10.591,4.87,5.372,4,4
SB118,Grassland,Agriculture,Active,2.5,Basidiomycota,Relative abundance,11,11,1.1,1.1,5,5
SB118,Grassland,Agriculture,Active,11,Basidiomycota,Relative abundance,18,11,1.8,1.1,5,5
SB118,Grassland,Agriculture,Active,16,Basidiomycota,Relative abundance,11,11,1.1,1.1,5,5
SB124,Grassland,Agriculture,Active,20,Basidiomycota,Relative abundance,5.32,11.63,1.247076581,6.044857318,3,3
SB124,Grassland,Agriculture,Active,20,Basidiomycota,Relative abundance,27.7,11.63,5.005626834,6.044857318,3,3
SB122,Forest,Mining,Active,5,Basidiomycota,Relative abundance,24.19,11.71,2.419,1.171,7,7
SB122,Forest,Mining,Active,5,Basidiomycota,Relative abundance,15.32,11.71,1.532,1.171,7,7
SB122,Forest,Mining,Active,5,Basidiomycota,Relative abundance,6.98,11.71,0.698,1.171,7,7
SB122,Forest,Mining,Active,5,Basidiomycota,Relative abundance,3.5,11.71,0.35,1.171,7,7
SB171,Grassland,Mining,Active,2,Basidiomycota,Relative abundance,9,14,0.9,1.4,7,7
SB171,Grassland,Mining,Active,6,Basidiomycota,Relative abundance,14,14,1.4,1.4,7,7
SB071,Forest,Agriculture,Passive,5,Basidiomycota,Relative abundance,11.044,14.097,1.1044,1.4097,5,5
SB071,Forest,Agriculture,Passive,17.5,Basidiomycota,Relative abundance,12.031,14.097,1.2031,1.4097,5,5
SB071,Forest,Agriculture,Passive,35,Basidiomycota,Relative abundance,9.672,14.097,0.9672,1.4097,5,5
SB094,Grassland,Mining,Active,4,Basidiomycota,Relative abundance,9,15,0.9,1.5,12,12
SB094,Grassland,Mining,Active,6,Basidiomycota,Relative abundance,4,15,0.4,1.5,12,12
SB094,Grassland,Mining,Active,9,Basidiomycota,Relative abundance,4,15,0.4,1.5,12,12
SB094,Grassland,Mining,Active,14,Basidiomycota,Relative abundance,8,15,0.8,1.5,12,12
SB097,Forest,Pasture,Active,6,Basidiomycota,Relative abundance,18,15,1.8,1.5,9,9
SB135,Forest,Deforestation,Active,6,Basidiomycota,Relative abundance,28,15,2.8,1.5,3,3
SB135,Forest,Deforestation,Active,15,Basidiomycota,Relative abundance,15,15,1.5,1.5,3,3
SB135,Forest,Deforestation,Active,25,Basidiomycota,Relative abundance,8,15,0.8,1.5,3,3
SB135,Forest,Deforestation,Active,32,Basidiomycota,Relative abundance,8,15,0.8,1.5,3,3
