ID,Ordination_type,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB131,PCoA,9,Grassland,Pasture,Passive,0.0138115,0.02199999,0.00552482,0.001946988,3,3
SB021,PCA,11,Forest,Erosion,Active,0.10104899,0.02819355,0.049976516,0.002384491,3,3
SB021,PCA,21,Forest,Erosion,Active,0.10419462,0.02819355,0.050191844,0.002384491,3,3
SB021,PCA,31,Forest,Erosion,Active,0.14765746,0.02819355,0.063339647,0.002384491,3,3
SB053,PCA,120,Forest,Agriculture,Passive,0.15369708,0.03482946,0.07905512,0.01894583,4,4
SB053,PCA,60,Forest,Agriculture,Passive,0.18481564,0.03482946,0.13992113,0.01894583,4,4
SB053,PCA,30,Forest,Agriculture,Passive,0.26420965,0.03482946,0.17690672,0.01894583,4,4
SB079,NMDS,30,Grassland,Pasture,Passive,0.08794163,0.03663124,0.02619284,0.01371015,3,3
SB079,NMDS,25,Grassland,Pasture,Passive,0.16170388,0.03663124,0.04996153,0.01371015,3,3
SB079,NMDS,5,Grassland,Pasture,Passive,0.19249329,0.03663124,0.12695058,0.01371015,3,3
SB079,NMDS,10,Grassland,Pasture,Passive,0.27452421,0.03663124,0.19234052,0.01371015,3,3
SB079,NMDS,15,Grassland,Pasture,Passive,0.33673577,0.03663124,0.18007334,0.01371015,3,3
SB115,PCA,33,Forest,Agriculture,Passive,0.01498591,0.03977767,0.008348879,0.009227959,3,3
SB115,PCA,8,Forest,Agriculture,Passive,0.02170725,0.03977767,0.011782319,0.009227959,3,3
SB115,PCA,40,Forest,Agriculture,Passive,0.0293182,0.03977767,0.016500449,0.009227959,3,3
SB115,PCA,2,Forest,Agriculture,Passive,0.03839657,0.03977767,0.003700704,0.009227959,3,3
SB156,NMDS,15,Forest,Deforestation,Active,0.02704951,0.04566715,0.009224186,0.013148225,4,4
SB156,NMDS,12,Forest,Deforestation,Active,0.14757352,0.04566715,0.056688799,0.013148225,4,4
SB183,NMDS,50,Forest,Deforestation,Active,0.02488859,0.04785033,0.01081204,0.0242344,5,5
SB183,NMDS,30,Forest,Deforestation,Active,0.05425093,0.04785033,0.02659538,0.0242344,13,5
SB183,NMDS,10,Forest,Deforestation,Active,0.06294501,0.04785033,0.03263373,0.0242344,14,5
SB037,NMDS,60,Forest,Agriculture,Passive,0.06677939,0.04948076,0.03208642,0.02008422,6,6
SB037,NMDS,100,Forest,Agriculture,Passive,0.08155031,0.04948076,0.03437805,0.02008422,6,6
SB037,NMDS,11,Forest,Agriculture,Passive,0.08347635,0.04948076,0.03365023,0.02008422,6,6
SB037,NMDS,35,Forest,Agriculture,Passive,0.10294485,0.04948076,0.04295361,0.02008422,6,6
SB037,NMDS,150,Forest,Agriculture,Passive,0.15525349,0.04948076,0.12012751,0.02008422,6,6
SB027,PCA,25,Grassland,Pasture,Passive,0.02348168,0.05137224,0.007891534,0.034754714,3,3
SB027,PCA,10,Grassland,Pasture,Passive,0.0615412,0.05137224,0.029386406,0.034754714,3,3
SB027,PCA,35,Grassland,Pasture,Passive,0.30129041,0.05137224,0.20791953,0.034754714,3,3
SB028,PCoA,15,Forest,Agriculture,Active,0.05876116,0.05459193,0.03040694,0.01976585,3,3
SB145,PCoA,15,Forest,Agriculture,Active,0.05384845,0.05480268,0.0285406,0.03340639,6,6
SB145,PCoA,45,Forest,Agriculture,Active,0.07308922,0.05480268,0.03370319,0.03340639,6,6
SB145,PCoA,35,Forest,Agriculture,Active,0.11885655,0.05480268,0.06773843,0.03340639,6,6
SB145,PCoA,25,Forest,Agriculture,Active,0.12193975,0.05480268,0.06504148,0.03340639,6,6
SB147,PCA,34,Grassland,Agriculture,Active,0.07406417,0.05844667,0.05133312,0.02498833,3,3
SB147,PCA,35,Grassland,Agriculture,Passive,0.16338583,0.05844667,0.08932646,0.02498833,3,3
SB151,PCoA,20,Grassland,Pasture,Passive,0.24944706,0.05943171,0.1122649,0.03286653,3,3
SB171,PCoA,2,Grassland,Mining,Active,0.08078534,0.06771357,0.05003683,0.04063155,7,7
SB171,PCoA,6,Grassland,Mining,Active,0.10050693,0.06771357,0.05726998,0.04063155,7,7
SB161,PCoA,20,Forest,Pasture,Passive,0.06378795,0.07288392,0.04562021,0.03219808,9,9
SB072,PCoA,2,Forest,Monoculture plantation,Active,0.13977179,0.07710874,0.0859755,0.0358093,6,6
SB072,PCoA,2,Forest,Monoculture plantation,Active,0.33709752,0.07710874,0.2273836,0.0358093,6,6
SB147,PCA,34,Grassland,Agriculture,Active,0.13090758,0.07747483,0.07110055,0.01595418,3,3
SB147,PCA,35,Grassland,Agriculture,Passive,0.14747167,0.07747483,0.08090468,0.01595418,3,3
SB096,PCA,2.5,Forest,Erosion,Active,0.27447148,0.08496107,0.05977176,0.01400799,3,3
SB182,PCoA,7,Grassland,Agriculture,Passive,0.05980475,0.08903977,0.02165319,0.03405331,4,4
SB182,PCoA,7,Grassland,Agriculture,Active,0.17384517,0.08903977,0.15967611,0.03405331,4,4
SB024,NMDS,17,Forest,Agriculture,Active,0.21464616,0.09769832,0.0902222,0.04073448,3,3
SB024,NMDS,17,Grassland,Agriculture,Active,0.25617915,0.09769832,0.15355843,0.04073448,3,3
SB024,NMDS,78,Grassland,Agriculture,Passive,0.42988805,0.09769832,0.20626793,0.04073448,3,3
SB122,PCA,5,Forest,Mining,Active,0.1025078,0.1096424,0.05134883,0.05458721,7,7
SB122,PCA,5,Forest,Mining,Active,0.103723,0.1096424,0.05255897,0.05458721,7,7
SB122,PCA,5,Forest,Mining,Active,0.1083776,0.1096424,0.05354838,0.05458721,7,7
SB122,PCA,5,Forest,Mining,Active,0.1117191,0.1096424,0.06102203,0.05458721,7,7
SB077,PCoA,11,Forest,Monoculture plantation,Active,0.3067666,0.111152,0.21915887,0.07741153,3,3
SB077,PCoA,11,Forest,Monoculture plantation,Active,0.3072847,0.111152,0.21138407,0.07741153,3,3
SB141,PCA,59,Forest,Deforestation,Active,0.1041079,0.1181228,0.08598139,0.07666452,14,15
SB141,PCA,59,Forest,Deforestation,Active,0.1750524,0.1181228,0.11853191,0.07666452,15,15
SB141,PCA,59,Forest,Deforestation,Active,0.1842881,0.1181228,0.13675397,0.07666452,15,15
SB102,NMDS,40,Forest,Monoculture plantation,Passive,0.1388536,0.1185665,0.056200222,0.007371834,3,3
SB102,NMDS,55,Forest,Monoculture plantation,Passive,0.2163481,0.1185665,0.018529419,0.007371834,3,3
SB102,NMDS,30,Forest,Monoculture plantation,Passive,0.4813858,0.1185665,0.303881604,0.007371834,3,3
SB155,PCoA,43,Forest,Erosion,Active,0.09728318,0.11913735,0.02735572,0.08468848,3,3
SB155,PCoA,43,Forest,Erosion,Active,0.21018725,0.11913735,0.11643304,0.08468848,3,3
SB155,PCoA,43,Forest,Erosion,Active,0.33363387,0.11913735,0.22956887,0.08468848,3,3
SB069,PCA,34,Forest,Agriculture,Active,0.01529743,0.1202734,0.007633685,0.080428004,3,3
SB069,PCA,28,Forest,Agriculture,Active,0.02230208,0.1202734,0.012028947,0.080428004,3,3
SB069,PCA,17,Forest,Agriculture,Active,0.02850106,0.1202734,0.001537786,0.080428004,3,3
SB069,PCA,45,Forest,Agriculture,Active,0.07208878,0.1202734,0.033488221,0.080428004,3,3
SB104,PCA,7,Forest,Agriculture,Active,0.200819,0.1214951,0.008308696,0.036656354,3,3
