ID,Restored_SS,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB066,3,2,Grassland,Mining,Active,0.03806772,0.05200505,0.016456697,0.038697452,3,3
SB066,3,30,Grassland,Mining,Active,0.05859138,0.05200505,0.012689186,0.038697452,3,3
SB066,3,20,Grassland,Mining,Active,0.1045228,0.05200505,0.053500334,0.038697452,3,3
SB066,3,10,Grassland,Mining,Active,0.1078131,0.05200505,0.007890704,0.038697452,3,3
SB116,8,75,Forest,Deforestation,Active,0.03731557,0.06074321,0.02278918,0.03775913,8,9
SB116,9,25,Forest,Deforestation,Active,0.03761942,0.06074321,0.01924334,0.03775913,9,9
SB116,10,40,Forest,Deforestation,Active,0.04408815,0.06074321,0.02723436,0.03775913,10,9
SB116,8,50,Forest,Deforestation,Active,0.07294187,0.06074321,0.04546305,0.03775913,8,9
SB172,8,3,Grassland,Pasture,Active,0.12419253,0.06753664,0.05668062,0.03097058,8,8
SB114,3,30,Forest,Deforestation,Passive,0.16361496,0.07025387,0.11203082,0.01087522,3,3
SB114,3,30,Forest,Deforestation,Passive,0.33951558,0.07025387,0.10106538,0.01087522,3,3
SB114,3,30,Forest,Deforestation,Passive,0.36456123,0.07025387,0.29802043,0.01087522,3,3
SB112,3,6,Forest,Deforestation,Passive,0.07371969,0.07581758,0.03672843,0.02799251,3,3
SB112,3,6,Forest,Deforestation,Passive,0.15531107,0.07581758,0.08117265,0.02799251,3,3
SB112,3,6,Forest,Deforestation,Passive,0.18934879,0.07581758,0.07430286,0.02799251,3,3
SB112,3,6,Forest,Deforestation,Passive,0.28222214,0.07581758,0.13385313,0.02799251,3,3
SB160,3,8,Grassland,Agriculture,Passive,0.07292843,0.08103512,0.02368723,0.0397377,3,3
SB160,3,2,Grassland,Agriculture,Passive,0.21567177,0.08103512,0.13936403,0.0397377,3,3
SB151,3,20,Grassland,Pasture,Passive,0.24944706,0.08655523,0.1122649,0.05083854,3,3
SB171,7,2,Grassland,Mining,Active,0.08078534,0.09146559,0.05003683,0.065063,7,7
SB171,7,6,Grassland,Mining,Active,0.10050693,0.09146559,0.05726998,0.065063,7,7
SB122,7,5,Forest,Mining,Active,0.1025078,0.1084566,0.05134883,0.05930459,7,7
SB122,7,5,Forest,Mining,Active,0.103723,0.1084566,0.05255897,0.05930459,7,7
SB122,7,5,Forest,Mining,Active,0.1083776,0.1084566,0.05354838,0.05930459,7,7
SB122,7,5,Forest,Mining,Active,0.1117191,0.1084566,0.06102203,0.05930459,7,7
SB124,3,20,Grassland,Agriculture,Active,0.04097351,0.12520927,0.01737748,0.06127632,3,3
SB066,3,30,Grassland,Mining,Active,0.04274537,0.12636753,0.0180765,0.05828627,3,3
SB066,3,20,Grassland,Mining,Active,0.05264786,0.12636753,0.03202677,0.05828627,3,3
SB066,3,2,Grassland,Mining,Active,0.06498724,0.12636753,0.01789546,0.05828627,3,3
SB066,3,10,Grassland,Mining,Active,0.06891101,0.12636753,0.02838413,0.05828627,3,3
SB149,3,20,Forest,Agriculture,Passive,0.02341877,0.12832843,0.007215376,0.044430161,3,3
SB149,3,15,Forest,Agriculture,Passive,0.04958671,0.12832843,0.018345498,0.044430161,3,3
SB040,3,10,Forest,Deforestation,Active,0.03145682,0.13632803,0.0272424,0.05595313,3,3
SB040,3,5,Forest,Deforestation,Active,0.08050266,0.13632803,0.01639583,0.05595313,3,3
SB040,3,30,Forest,Deforestation,Active,0.08378453,0.13632803,0.04602214,0.05595313,3,3
SB040,3,25,Forest,Deforestation,Active,0.16905452,0.13632803,0.13704964,0.05595313,3,3
SB104,3,7,Forest,Agriculture,Active,0.200819,0.1460847,0.008308696,0.03651183,3,3
SB165,10,59,Forest,Deforestation,Passive,0.2378079,0.1567895,0.13567382,0.06427572,10,10
SB165,10,16,Forest,Deforestation,Passive,0.2407472,0.1567895,0.1283504,0.06427572,10,10
SB165,10,23,Forest,Deforestation,Passive,0.3003285,0.1567895,0.16954195,0.06427572,10,10
SB117,9,61,Forest,Deforestation,Passive,0.3256453,0.1788262,0.18197134,0.09036694,9,9
SB117,9,47,Forest,Deforestation,Passive,0.6777481,0.1788262,0.39353587,0.09036694,9,9
SB117,9,32,Forest,Deforestation,Passive,1.0211388,0.1788262,0.51157738,0.09036694,9,9
SB117,9,20,Forest,Deforestation,Passive,1.5101879,0.1788262,0.97319948,0.09036694,9,9
SB021,3,11,Forest,Erosion,Active,0.10104899,0.19000117,0.049976516,0.151938583,3,3
SB021,3,21,Forest,Erosion,Active,0.10419462,0.19000117,0.050191844,0.151938583,3,3
SB021,3,31,Forest,Erosion,Active,0.14765746,0.19000117,0.063339647,0.151938583,3,3
SB045,6,23,Forest,Deforestation,Passive,0.1649039,0.2239828,0.07714971,0.14270904,6,5
SB045,6,10,Forest,Deforestation,Passive,0.2115054,0.2239828,0.11354461,0.14270904,6,5
SB183,5,64,Forest,Deforestation,Active,0.1569965,0.2570899,0.09172378,0.10602553,5,5
SB183,5,64,Forest,Deforestation,Active,0.2605615,0.2570899,0.09044632,0.10602553,5,5
SB166,5,40,Forest,Deforestation,Active,0.1080882,0.2621361,0.04124619,0.19241121,5,5
SB166,5,40,Forest,Deforestation,Passive,0.2813809,0.2621361,0.17195277,0.19241121,5,5
SB120,3,2,Forest,Mining,Passive,0.05554156,0.27870439,0.02033183,0.14868529,3,3
SB120,3,20,Forest,Others,Passive,0.11394852,0.27870439,0.03056144,0.14868529,3,3
SB120,3,2,Forest,Others,Passive,0.17026698,0.27870439,0.08351846,0.14868529,3,3
SB120,3,1,Forest,Others,Passive,0.23600147,0.27870439,0.15828345,0.14868529,3,3
SB146,3,25,Forest,Erosion,Active,0.3893124,0.2838287,0.2198317,0.1828867,3,3
SB146,3,25,Forest,Erosion,Active,0.513087,0.2838287,0.2136063,0.1828867,3,3
SB118,15,2.5,Grassland,Agriculture,Active,0.2177068,0.2870233,0.1158595,0.1625686,15,14
SB118,15,11,Grassland,Agriculture,Active,0.3015038,0.2870233,0.2926361,0.1625686,15,14
SB118,15,16,Grassland,Agriculture,Active,0.3370622,0.2870233,0.1513069,0.1625686,15,14
SB097,6,6,Forest,Pasture,Active,0.3939371,0.3074015,0.1976931,0.1344025,6,6
SB161,9,20,Forest,Pasture,Passive,0.06378795,0.31976646,0.04562021,0.21110437,9,9
SB186,8,4,Grassland,Pasture,Active,0.2039638,0.3321269,0.1156204,0.1993039,8,15
SB044,9,31,Forest,Agriculture,Passive,0.3792066,0.3415624,0.1733186,0.1591209,9,10
SB076,3,6,Forest,Agriculture,Passive,0.03580439,0.38570081,0.02197102,0.20497746,3,3
SB076,3,40,Forest,Agriculture,Passive,0.14495774,0.38570081,0.05397851,0.20497746,3,3
SB076,3,20,Forest,Agriculture,Passive,0.1617872,0.38570081,0.10087295,0.20497746,3,3
SB076,3,3,Forest,Agriculture,Passive,0.16302506,0.38570081,0.07951644,0.20497746,3,3
