ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB127,Grassland,Pasture,Active,4,Total,Richness_Chao1,10.389,9.478,2.682946701,2.704,3,4
SB172,Grassland,Pasture,Active,3,Total,Richness_Chao1,41.707215,30.268456,4.8998442,7.2470225,8,8
SB163,Forest,Monoculture plantation,Active,11,Total,Richness_Chao1,65.5760369,57.9723502,12.28118058,9.16462221,9,9
SB078,Forest,Erosion,Active,1,Total,Richness_Chao1,50.72,60.976,38.90012909,105.62,3,4
SB078,Forest,Erosion,Active,6,Total,Richness_Chao1,38.941,60.976,13.1861028,105.62,3,4
SB078,Forest,Erosion,Active,11,Total,Richness_Chao1,137.098,60.976,56.65711397,105.62,3,4
SB078,Forest,Erosion,Active,16,Total,Richness_Chao1,185.495,60.976,91.13878144,105.62,3,4
SB123,Forest,Monoculture plantation,Active,40,Total,Richness_Chao1,53.899,66.842,2.456048045,5.318,3,4
SB123,Forest,Monoculture plantation,Active,40,Total,Richness_Chao1,51.948,66.842,3.990645061,5.318,3,4
SB123,Forest,Monoculture plantation,Active,20,Total,Richness_Chao1,53.899,67.019,2.456048045,3.546,3,4
SB123,Forest,Monoculture plantation,Active,20,Total,Richness_Chao1,51.948,67.019,3.990645061,3.546,3,4
SB177,Forest,Erosion,Active,37,Total,Richness_Chao1,253.6,83.15,54.40371587,15.72702133,3,3
SB028,Forest,Agriculture,Active,15,Total,Richness_Chao1,125,124,19.05255888,12,3,4
SB028,Forest,Agriculture,Active,30,Total,Richness_Chao1,109,124,6.92820323,12,3,4
SB028,Forest,Agriculture,Active,45,Total,Richness_Chao1,109,124,10.39230485,12,3,4
SB155,Forest,Erosion,Active,43,Total,Richness_Chao1,288.94,140.44,14.002,14.002,4,4
SB155,Forest,Erosion,Active,43,Total,Richness_Chao1,288.94,140.44,16.82,14.002,4,4
SB155,Forest,Erosion,Active,43,Total,Richness_Chao1,513.11,140.44,16.8,14.002,4,4
SB104,Forest,Agriculture,Active,7,Total,Richness_Chao1,221.1,165.2,22.11,16.52,3,4
SB115,Forest,Agriculture,Passive,8,Total,Richness_Chao1,194,184,19.4,18.4,2,3
SB115,Forest,Agriculture,Passive,33,Total,Richness_Chao1,226,184,22.6,18.4,2,3
SB115,Forest,Agriculture,Passive,40,Total,Richness_Chao1,204,184,20.4,18.4,2,3
SB160,Grassland,Agriculture,Passive,2,Total,Richness_Chao1,291,198,23,34.8,3,3
SB160,Grassland,Agriculture,Passive,8,Total,Richness_Chao1,351,198,35.5,34.8,3,3
SB137,Forest,Agriculture,Active,17.5,Total,Richness_Chao1,248,251,27.71281292,94,3,4
SB047,Forest,Mining,Active,4,Total,Richness_Chao1,304,254,67.08203932,22.45462091,20,21
SB047,Forest,Mining,Active,3,Total,Richness_Chao1,447,304,80.49844719,35.28583285,20,21
SB058,Grassland,Mining,Active,5,Total,Richness_Chao1,485.4,311.41,48.54,31.141,3,4
SB058,Grassland,Mining,Active,5,Total,Richness_Chao1,602.27,311.41,60.227,31.141,3,4
SB058,Grassland,Mining,Active,5,Total,Richness_Chao1,331.7,311.41,33.17,31.141,3,4
SB058,Grassland,Mining,Active,5,Total,Richness_Chao1,487.95,311.41,48.795,31.141,3,4
SB058,Grassland,Mining,Active,5,Total,Richness_Chao1,535.7,311.41,53.57,31.141,3,4
SB058,Grassland,Mining,Active,5,Total,Richness_Chao1,520.78,311.41,52.078,31.141,3,4
SB144,Forest,Erosion,Active,2,Total,Richness_Chao1,935.36,333.55,7.2919339,107.66,3,4
SB144,Forest,Erosion,Active,2,Total,Richness_Chao1,636.31,333.55,48.49742261,107.66,3,4
