ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB127,Grassland,Pasture,Active,4,Total,Richness_Chao1,10.389,8.315,2.682946701,1.577898286,3,3
SB083,Forest,Agriculture,Passive,10,Total,Richness_Chao1,47.783,22.539,4.7783,2.2539,3,3
SB083,Forest,Agriculture,Passive,29,Total,Richness_Chao1,30.103,22.539,3.0103,2.2539,3,3
SB083,Forest,Agriculture,Passive,59,Total,Richness_Chao1,43.624,22.539,4.3624,2.2539,3,3
SB172,Grassland,Pasture,Active,3,Total,Richness_Chao1,41.707215,38.762584,4.8998442,4.1857015,8,8
SB171,Grassland,Mining,Active,2,Total,Richness_Chao1,459.79,328.5,72.01,67.03,7,7
SB171,Grassland,Mining,Active,6,Total,Richness_Chao1,340.76,328.5,95.44,67.03,7,7
SB160,Grassland,Agriculture,Passive,2,Total,Richness_Chao1,291,331.3,23,50.8,3,3
SB160,Grassland,Agriculture,Passive,8,Total,Richness_Chao1,351,331.3,35.5,50.8,3,3
SB084,Forest,Mining,Passive,1,Total,Richness_Chao1,365,355.622,36.5,35.5622,6,6
SB084,Forest,Mining,Passive,2,Total,Richness_Chao1,414.806,355.622,41.4806,35.5622,6,6
SB084,Forest,Mining,Passive,5,Total,Richness_Chao1,464.978,355.622,46.4978,35.5622,6,6
SB084,Forest,Mining,Passive,10,Total,Richness_Chao1,438.54,355.622,43.854,35.5622,6,6
SB084,Forest,Mining,Active,15,Total,Richness_Chao1,436.137,355.622,43.6137,35.5622,6,6
SB177,Forest,Erosion,Active,37,Total,Richness_Chao1,253.6,381.74,54.40371587,104.0616125,3,3
SB104,Forest,Agriculture,Active,7,Total,Richness_Chao1,221.1,405.2,22.11,40.52,3,3
SB059,Forest,Agriculture,Passive,30,Total,Richness_Chao1,634.2,431.1,98.55369095,106.0015094,3,3
SB059,Forest,Agriculture,Passive,60,Total,Richness_Chao1,783.7,431.1,97.68766555,106.0015094,3,3
SB059,Forest,Agriculture,Passive,110,Total,Richness_Chao1,630.7,431.1,34.46781107,106.0015094,3,3
SB098,Grassland,Pasture,Active,1,Total,Richness_Chao1,612.96,443.74,64.46,67.62,4,4
SB098,Grassland,Pasture,Active,5,Total,Richness_Chao1,685.43,443.74,64.9,67.62,4,4
SB098,Grassland,Pasture,Active,10,Total,Richness_Chao1,502.24,443.74,88.08,67.62,4,4
SB120,Forest,Others,Passive,1,Total,Richness_Chao1,415.843,444.037,77.532,24.668,4,4
SB120,Forest,Others,Passive,2,Total,Richness_Chao1,489.852,444.037,112.774,24.668,4,4
SB120,Forest,Mining,Passive,2,Total,Richness_Chao1,655.491,444.037,91.628,24.668,4,4
SB120,Forest,Others,Passive,20,Total,Richness_Chao1,540.954,444.037,116.298,24.668,4,4
SB112,Forest,Deforestation,Passive,6,Total,Richness_Chao1,333.84,453.18,29.21,28.58,3,3
SB112,Forest,Deforestation,Passive,6,Total,Richness_Chao1,419.49,453.18,20.88,28.58,3,3
SB112,Forest,Deforestation,Passive,6,Total,Richness_Chao1,451.24,453.18,18.81,28.58,3,3
SB112,Forest,Deforestation,Passive,6,Total,Richness_Chao1,401.18,453.18,43.13,28.58,3,3
SB180,Grassland,Pasture,Active,4,Total,Richness_Chao1,974.025974,470.779221,11.2470832,22.4941663,3,3
SB075,Grassland,Pasture,Passive,9,Total,Richness_Chao1,474.39,497.24,50.49041493,28.37570263,5,5
SB075,Grassland,Pasture,Active,9,Total,Richness_Chao1,483.71,497.24,31.66272256,28.37570263,5,5
SB166,Forest,Deforestation,Passive,40,Total,Richness_Chao1,966.503268,604.1666667,127.7008264,277.0091064,5,5
SB166,Forest,Deforestation,Active,40,Total,Richness_Chao1,811.2745098,604.1666667,53.38079222,277.0091064,5,5
SB117,Forest,Deforestation,Passive,32,Total,Richness_Chao1,367.523,690.21,176.4197671,169.1001203,3,3
SB117,Forest,Deforestation,Passive,47,Total,Richness_Chao1,568.779,690.21,193.5965149,169.1001203,3,3
SB117,Forest,Deforestation,Passive,61,Total,Richness_Chao1,503.01,690.21,297.4624057,169.1001203,3,3
SB117,Forest,Deforestation,Passive,20,Total,Richness_Chao1,664.174,694.078,368.9129656,151.5198046,3,3
