ID,Ordination_type,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Degraded_Mean,Deg_vs_Res_Mean,Restored_SD,Degraded_SD,Deg_vs_Res_SD,Restored_SS,Degraded_SS,yi,vi
SB131,PCoA,9,Grassland,Pasture,Passive,0.0138115,0.02199999,0.02394341,0.00552482,0.001946988,0.009637726,3,3,-0.402575662,0.062926607
SB021,PCA,11,Forest,Erosion,Active,0.10104899,0.02819355,0.259877,0.049976516,0.002384491,0.06660769,3,3,0.698517648,0.071853316
SB021,PCA,21,Forest,Erosion,Active,0.10419462,0.02819355,0.7872395,0.050191844,0.002384491,0.02272379,3,3,1.782794233,0.048298132
SB021,PCA,31,Forest,Erosion,Active,0.14765746,0.02819355,0.7234337,0.063339647,0.002384491,0.0381944,3,3,1.414371802,0.044235864
SB053,PCA,120,Forest,Agriculture,Passive,0.15369708,0.03482946,0.540577,0.07905512,0.01894583,0.05307814,4,4,1.053398295,0.048894721
SB053,PCA,60,Forest,Agriculture,Passive,0.18481564,0.03482946,0.475571,0.13992113,0.01894583,0.06378049,4,4,0.772503125,0.107809349
SB053,PCA,30,Forest,Agriculture,Passive,0.26420965,0.03482946,0.5079252,0.17690672,0.01894583,0.10411251,4,4,0.529759825,0.099000158
SB079,NMDS,30,Grassland,Pasture,Passive,0.08794163,0.03663124,0.377863,0.02619284,0.01371015,0.377863,3,3,1.10964085,0.352107457
SB079,NMDS,25,Grassland,Pasture,Passive,0.16170388,0.03663124,0.213396,0.04996153,0.01371015,0.213396,3,3,0.073191469,0.35607812
SB079,NMDS,5,Grassland,Pasture,Passive,0.19249329,0.03663124,0.1114738,0.12695058,0.01371015,0.1114738,3,3,-0.720476069,0.436857292
SB079,NMDS,10,Grassland,Pasture,Passive,0.27452421,0.03663124,0.2728022,0.19234052,0.01371015,0.2728022,3,3,-0.131545636,0.461350003
SB079,NMDS,15,Grassland,Pasture,Passive,0.33673577,0.03663124,0.3049643,0.18007334,0.01371015,0.3049643,3,3,-0.202367156,0.411319206
SB115,PCA,33,Forest,Agriculture,Passive,0.01498591,0.03977767,0.67383242,0.008348879,0.009227959,0.019996005,3,3,2.509956071,0.017505545
SB115,PCA,8,Forest,Agriculture,Passive,0.02170725,0.03977767,0.72551104,0.011782319,0.009227959,0.022963947,3,3,2.468084348,0.020083056
SB115,PCA,40,Forest,Agriculture,Passive,0.0293182,0.03977767,0.66966625,0.016500449,0.009227959,0.027382556,3,3,2.271284493,0.025512091
SB115,PCA,2,Forest,Agriculture,Passive,0.03839657,0.03977767,0.45417566,0.003700704,0.009227959,0.022951287,3,3,1.759543858,0.00624298
SB156,NMDS,15,Forest,Deforestation,Active,0.02704951,0.04566715,0.09424031,0.009224186,0.013148225,0.02249417,4,4,0.25927749,0.026439434
SB156,NMDS,12,Forest,Deforestation,Active,0.14757352,0.04566715,0.11890252,0.056688799,0.013148225,0.06525659,4,4,-0.485632409,0.097974213
SB183,NMDS,50,Forest,Deforestation,Active,0.02488859,0.04785033,0.08429546,0.01081204,0.0242344,0.02468271,5,5,0.147451416,0.043767032
SB183,NMDS,30,Forest,Deforestation,Active,0.05425093,0.04785033,0.08055423,0.02659538,0.0242344,0.02909291,13,5,-0.237034444,0.026520401
SB183,NMDS,10,Forest,Deforestation,Active,0.06294501,0.04785033,0.09769156,0.03263373,0.0242344,0.04701223,14,5,-0.125869547,0.032307076
SB037,NMDS,60,Forest,Agriculture,Passive,0.06677939,0.04948076,0.1799752,0.03208642,0.02008422,0.03567961,6,6,0.436988711,0.024219142
SB037,NMDS,100,Forest,Agriculture,Passive,0.08155031,0.04948076,0.3392004,0.03437805,0.02008422,0.05709737,6,6,0.951156613,0.020110787
SB037,NMDS,11,Forest,Agriculture,Passive,0.08347635,0.04948076,0.2601688,0.03365023,0.02008422,0.0434599,6,6,0.671304056,0.019129584
SB037,NMDS,35,Forest,Agriculture,Passive,0.10294485,0.04948076,0.439204,0.04295361,0.02008422,0.05553891,6,6,1.058287324,0.018793964
SB037,NMDS,150,Forest,Agriculture,Passive,0.15525349,0.04948076,0.4237656,0.12012751,0.02008422,0.10436814,6,6,0.727467675,0.069092448
SB027,PCA,25,Grassland,Pasture,Passive,0.02348168,0.05137224,0.6358027,0.007891534,0.034754714,0.0380403,3,3,2.139349814,0.076756414
SB027,PCA,10,Grassland,Pasture,Passive,0.0615412,0.05137224,0.1049319,0.029386406,0.034754714,0.04237744,3,3,-0.073309939,0.108524656
SB027,PCA,35,Grassland,Pasture,Passive,0.30129041,0.05137224,0.7335688,0.20791953,0.034754714,0.05047791,3,3,0.732409456,0.120680166
SB028,PCoA,15,Forest,Agriculture,Active,0.05876116,0.05459193,0.6537166,0.03040694,0.01976585,0.02266649,3,3,1.752166287,0.034522174
SB145,PCoA,15,Forest,Agriculture,Active,0.05384845,0.05480268,0.6604897,0.0285406,0.03340639,0.0452576,6,6,1.804839423,0.028038515
SB145,PCoA,45,Forest,Agriculture,Active,0.07308922,0.05480268,0.6926158,0.03370319,0.03340639,0.03256972,6,6,1.689290068,0.023314716
SB145,PCoA,35,Forest,Agriculture,Active,0.11885655,0.05480268,0.5135129,0.06773843,0.03340639,0.06477251,6,6,1.08418022,0.034177743
SB145,PCoA,25,Forest,Agriculture,Active,0.12193975,0.05480268,0.5889065,0.06504148,0.03340639,0.04927726,6,6,1.203573952,0.029692031
SB147,PCA,34,Grassland,Agriculture,Active,0.07406417,0.05844667,0.6190381,0.05133312,0.02498833,0.04481545,3,3,1.541502368,0.063623805
SB147,PCA,35,Grassland,Agriculture,Passive,0.16338583,0.05844667,0.7496926,0.08932646,0.02498833,0.07578574,3,3,1.217740663,0.061685091
SB151,PCoA,20,Grassland,Pasture,Passive,0.24944706,0.05943171,0.4544495,0.1122649,0.03286653,0.14219869,3,3,0.386137927,0.080444456
SB171,PCoA,2,Grassland,Mining,Active,0.08078534,0.06771357,0.6714291,0.05003683,0.04063155,0.06901207,7,7,1.508830808,0.02842366
SB171,PCoA,6,Grassland,Mining,Active,0.10050693,0.06771357,0.1381566,0.05726998,0.04063155,0.08393202,7,7,-0.196887794,0.077616655
SB161,PCoA,20,Forest,Pasture,Passive,0.06378795,0.07288392,0.5638628,0.04562021,0.03219808,0.05656846,9,9,1.417228016,0.019664897
SB072,PCoA,2,Forest,Monoculture plantation,Active,0.13977179,0.07710874,0.5572998,0.0859755,0.0358093,0.11225724,6,6,0.943756687,0.037497272
SB072,PCoA,2,Forest,Monoculture plantation,Active,0.33709752,0.07710874,0.5140964,0.2273836,0.0358093,0.25343564,6,6,0.216046734,0.091976002
SB147,PCA,34,Grassland,Agriculture,Active,0.13090758,0.07747483,0.5722535,0.07110055,0.01595418,0.06431163,3,3,1.010207174,0.044970231
SB147,PCA,35,Grassland,Agriculture,Passive,0.14747167,0.07747483,0.4669533,0.08090468,0.01595418,0.03869994,3,3,0.730366657,0.047085204
SB096,PCA,2.5,Forest,Erosion,Active,0.27447148,0.08496107,0.3777361,0.05977176,0.01400799,0.1185213,3,3,0.049669266,0.042540946
SB182,PCoA,7,Grassland,Agriculture,Passive,0.05980475,0.08903977,0.5328115,0.02165319,0.03405331,0.05240844,4,4,1.275265432,0.020795114
SB182,PCoA,7,Grassland,Agriculture,Active,0.17384517,0.08903977,0.3559869,0.15967611,0.03405331,0.15002167,4,4,0.303177486,0.140828103
SB024,NMDS,17,Forest,Agriculture,Active,0.21464616,0.09769832,0.7323937,0.0902222,0.04073448,0.1374616,3,3,0.85221153,0.045224019
SB024,NMDS,17,Grassland,Agriculture,Active,0.25617915,0.09769832,0.455948,0.15355843,0.04073448,0.1643406,3,3,0.253428045,0.110487066
SB024,NMDS,78,Grassland,Agriculture,Passive,0.42988805,0.09769832,0.2503015,0.20626793,0.04073448,0.1383656,3,3,-0.745646395,0.154799394
SB122,PCA,5,Forest,Mining,Active,0.1025078,0.1096424,0.3170246,0.05134883,0.05458721,0.09429417,7,7,0.401684859,0.030465211
SB122,PCA,5,Forest,Mining,Active,0.103723,0.1096424,0.6444321,0.05255897,0.05458721,0.05049108,7,7,1.105363275,0.018896048
SB122,PCA,5,Forest,Mining,Active,0.1083776,0.1096424,0.7468387,0.05354838,0.05458721,0.06417259,7,7,1.23126243,0.018628181
SB122,PCA,5,Forest,Mining,Active,0.1117191,0.1096424,0.1323969,0.06102203,0.05458721,0.05617676,7,7,-0.513992882,0.045262559
SB077,PCoA,11,Forest,Monoculture plantation,Active,0.3067666,0.111152,0.6127214,0.21915887,0.07741153,0.1782588,3,3,0.38262367,0.131317293
SB077,PCoA,11,Forest,Monoculture plantation,Active,0.3072847,0.111152,0.3185693,0.21138407,0.07741153,0.1832439,3,3,-0.27268559,0.206764492
SB141,PCA,59,Forest,Deforestation,Active,0.1041079,0.1181228,0.3886078,0.08598139,0.07666452,0.1135667,14,15,0.558854577,0.024726587
SB141,PCA,59,Forest,Deforestation,Active,0.1750524,0.1181228,0.584929,0.11853191,0.07666452,0.1139286,15,15,0.69072009,0.017985283
SB141,PCA,59,Forest,Deforestation,Active,0.1842881,0.1181228,0.5743709,0.13675397,0.07666452,0.1169885,15,15,0.641488666,0.020683331
SB102,NMDS,40,Forest,Monoculture plantation,Passive,0.1388536,0.1185665,0.3901133,0.056200222,0.007371834,0.09884611,3,3,0.415727829,0.03756152
SB102,NMDS,55,Forest,Monoculture plantation,Passive,0.2163481,0.1185665,0.7412134,0.018529419,0.007371834,0.10773654,3,3,0.794412999,0.008224172
SB102,NMDS,30,Forest,Monoculture plantation,Passive,0.4813858,0.1185665,0.5350048,0.303881604,0.007371834,0.20530474,3,3,-0.114574433,0.134654072
SB155,PCoA,43,Forest,Erosion,Active,0.09728318,0.11913735,0.885257,0.02735572,0.08468848,0.04235484,3,3,1.408654585,0.057131088
SB155,PCoA,43,Forest,Erosion,Active,0.21018725,0.11913735,0.6488734,0.11643304,0.08468848,0.13160497,3,3,0.678193738,0.077421609
SB155,PCoA,43,Forest,Erosion,Active,0.33363387,0.11913735,0.6004905,0.22956887,0.08468848,0.2011875,3,3,0.282359856,0.134772217
SB069,PCA,34,Forest,Agriculture,Active,0.01529743,0.1202734,0.7693202,0.007633685,0.080428004,0.0326241,3,3,1.736013033,0.118973252
SB069,PCA,28,Forest,Agriculture,Active,0.02230208,0.1202734,0.7521152,0.012028947,0.080428004,0.03428824,3,3,1.66301796,0.109138201
SB069,PCA,17,Forest,Agriculture,Active,0.02850106,0.1202734,0.4914897,0.001537786,0.080428004,0.07243539,3,3,1.195009515,0.104693235
SB069,PCA,45,Forest,Agriculture,Active,0.07208878,0.1202734,0.9112175,0.033488221,0.080428004,0.03856426,3,3,1.555401668,0.068970615
SB104,PCA,7,Forest,Agriculture,Active,0.200819,0.1214951,0.5579435,0.008308696,0.036656354,0.10224779,3,3,0.548731167,0.015727447
SB185,NMDS,17.5,Grassland,Agriculture,Active,0.1785122,0.1218674,0.5035667,0.03019266,0.06342323,0.108406,3,3,0.516669168,0.033676265
SB185,NMDS,17.5,Grassland,Agriculture,Active,0.1944602,0.1218674,0.416591,0.08121714,0.06342323,0.1242756,3,3,0.27532654,0.065037496
SB185,NMDS,17.5,Grassland,Agriculture,Active,0.2487818,0.1218674,0.5167594,0.18275921,0.06342323,0.1775715,3,3,0.332321326,0.130161579
SB088,NMDS,5,Grassland,Mining,Active,0.06894411,0.12293334,0.8732341,0.02649155,0.04301225,0.07340291,5,5,1.515346789,0.015275567
SB088,NMDS,20,Grassland,Mining,Active,0.07555388,0.12293334,0.5039226,0.031266,0.04301225,0.06611894,5,5,0.93169797,0.017797547
