ID,Restored_SS,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Reference_Mean,Res_vs_Ref_Mean,Restored_SD,Reference_SD,Res_vs_Ref_SD,Restored_SS,Reference_SS,yi,vi
SB066,3,2,Grassland,Mining,Active,0.03806772,0.05200505,0.619314,0.016456697,0.038697452,0.03437871,3,3,1.927994515,0.073679812
SB066,3,30,Grassland,Mining,Active,0.05859138,0.05200505,0.5333437,0.012689186,0.038697452,0.04390077,3,3,1.573278247,0.047455914
SB066,3,20,Grassland,Mining,Active,0.1045228,0.05200505,0.535097,0.053500334,0.038697452,0.07273295,3,3,1.229214089,0.065472888
SB066,3,10,Grassland,Mining,Active,0.1078131,0.05200505,0.4816966,0.007890704,0.038697452,0.05497678,3,3,1.103277849,0.024697571
SB116,8,75,Forest,Deforestation,Active,0.03731557,0.06074321,0.05747243,0.02278918,0.03775913,0.02863589,8,9,-0.53426174,0.054258704
SB116,9,25,Forest,Deforestation,Active,0.03761942,0.06074321,0.5819512,0.01924334,0.03775913,0.01975886,9,9,1.77772564,0.02075421
SB116,10,40,Forest,Deforestation,Active,0.04408815,0.06074321,0.49286323,0.02723436,0.03775913,0.04371428,10,9,1.547878748,0.021951011
SB116,8,50,Forest,Deforestation,Active,0.07294187,0.06074321,0.46527934,0.04546305,0.03775913,0.03936136,8,9,1.247151072,0.024215143
SB172,8,3,Grassland,Pasture,Active,0.12419253,0.06753664,0.5909564,0.05668062,0.03097058,0.08813417,8,8,1.125658438,0.016966418
SB114,3,30,Forest,Deforestation,Passive,0.16361496,0.07025387,0.2205031,0.11203082,0.01087522,0.0930918,3,3,-0.058848649,0.136623303
SB114,3,30,Forest,Deforestation,Passive,0.33951558,0.07025387,0.5740737,0.10106538,0.01087522,0.11990289,3,3,0.337163101,0.035053105
SB114,3,30,Forest,Deforestation,Passive,0.36456123,0.07025387,0.7422647,0.29802043,0.01087522,0.09416936,3,3,0.534785035,0.162162771
SB112,3,6,Forest,Deforestation,Passive,0.07371969,0.07581758,0.5113107,0.03672843,0.02799251,0.03440925,3,3,1.229431769,0.033298875
SB112,3,6,Forest,Deforestation,Passive,0.15531107,0.07581758,1.1724555,0.08117265,0.02799251,0.03719596,3,3,1.623881065,0.046338965
SB112,3,6,Forest,Deforestation,Passive,0.18934879,0.07581758,1.0888128,0.07430286,0.02799251,0.07034321,3,3,1.412485767,0.031278967
SB112,3,6,Forest,Deforestation,Passive,0.28222214,0.07581758,1.4879847,0.13385313,0.02799251,0.18793841,3,3,1.424534003,0.053943005
SB160,3,8,Grassland,Agriculture,Passive,0.07292843,0.08103512,0.7959544,0.02368723,0.0397377,0.05342351,3,3,1.642826012,0.031596421
SB160,3,2,Grassland,Agriculture,Passive,0.21567177,0.08103512,0.585687,0.13936403,0.0397377,0.06011477,3,3,0.680040768,0.083030857
SB151,3,20,Grassland,Pasture,Passive,0.24944706,0.08655523,0.6512528,0.1122649,0.05083854,0.09411356,3,3,0.661779917,0.051804114
SB171,7,2,Grassland,Mining,Active,0.08078534,0.09146559,0.7419514,0.05003683,0.065063,0.06190088,7,7,1.460331433,0.033431126
SB171,7,6,Grassland,Mining,Active,0.10050693,0.09146559,0.5306974,0.05726998,0.065063,0.09049851,7,7,1.016839754,0.03327748
SB122,7,5,Forest,Mining,Active,0.1025078,0.1084566,0.5674688,0.05134883,0.05930459,0.09624441,7,7,0.989496371,0.023861832
SB122,7,5,Forest,Mining,Active,0.103723,0.1084566,0.1892663,0.05255897,0.05930459,0.07742714,7,7,-0.114278068,0.04383384
SB122,7,5,Forest,Mining,Active,0.1083776,0.1084566,0.7101014,0.05354838,0.05930459,0.05806609,7,7,1.186274771,0.020353845
