ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB172,Grassland,Pasture,Active,3,Total,Richness_OTU,38.194444,29.734848,4.2548333,6.5516131,8,8
SB145,Forest,Agriculture,Active,45,Total,Richness_OTU,93.94198,61.43345,7.5876717,6.406493453,6,6
SB145,Forest,Agriculture,Active,35,Total,Richness_OTU,93.22526,61.43345,4.196228227,6.406493453,6,6
SB145,Forest,Agriculture,Active,25,Total,Richness_OTU,99.12969,61.43345,3.181443818,6.406493453,6,6
SB145,Forest,Agriculture,Active,15,Total,Richness_OTU,95.83618,61.43345,5.609387849,6.406493453,6,6
SB092,Forest,Agriculture,Active,15,Total,Richness_OTU,439.981,72.899,71.01331982,74.89460165,18,19
SB092,Forest,Agriculture,Passive,15,Total,Richness_OTU,457.819,72.899,55.00159387,74.89460165,18,19
SB099,Forest,Mining,Active,2,Total,Richness_OTU,158.2021,79.69,205.82,94.66393783,4,5
SB099,Forest,Mining,Active,2,Total,Richness_OTU,208.674,79.69,67.92,94.66393783,4,5
SB099,Forest,Mining,Active,2,Total,Richness_OTU,243.171,79.69,88.664,94.66393783,4,5
SB122,Forest,Mining,Active,5,Total,Richness_OTU,152,95,15.2,9.5,7,8
SB122,Forest,Mining,Active,5,Total,Richness_OTU,119,95,11.9,9.5,7,8
SB122,Forest,Mining,Active,5,Total,Richness_OTU,127,95,12.7,9.5,7,8
SB122,Forest,Mining,Active,5,Total,Richness_OTU,198,95,19.8,9.5,7,8
SB047,Forest,Mining,Active,4,Total,Richness_OTU,193,137,53.66563146,8.70689382,20,21
SB088,Grassland,Mining,Active,5,Total,Richness_OTU,273,143,27.3,14.3,5,5
SB088,Grassland,Mining,Active,10,Total,Richness_OTU,443,143,44.3,14.3,5,5
SB088,Grassland,Mining,Active,15,Total,Richness_OTU,459,143,45.9,14.3,5,5
SB088,Grassland,Mining,Active,20,Total,Richness_OTU,554,143,55.4,14.3,5,5
SB044,Forest,Agriculture,Active,31,Total,Richness_OTU,136.793,148.09,47.474,72.129,12,6
SB047,Forest,Mining,Active,3,Total,Richness_OTU,290,172,67.08203932,23.37113604,20,21
