ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB116,Grassland,Deforestation,Active,25,Total,Richness_OTU,4.012,4.119,1.102381513,1.346112922,5,5
SB116,Grassland,Deforestation,Active,40,Total,Richness_OTU,3.819,4.119,0.503115295,1.346112922,5,5
SB116,Grassland,Deforestation,Active,50,Total,Richness_OTU,4.352,4.119,0.304105245,1.346112922,5,5
SB116,Grassland,Deforestation,Active,75,Total,Richness_OTU,3.317,4.119,0.731194229,1.346112922,5,5
SB172,Grassland,Pasture,Active,3,Total,Richness_OTU,38.194444,33.598485,4.2548333,2.2616884,8,8
SB122,Forest,Mining,Active,5,Total,Richness_OTU,152,111,15.2,11.1,7,7
SB122,Forest,Mining,Active,5,Total,Richness_OTU,119,111,11.9,11.1,7,7
SB122,Forest,Mining,Active,5,Total,Richness_OTU,127,111,12.7,11.1,7,7
SB122,Forest,Mining,Active,5,Total,Richness_OTU,198,111,19.8,11.1,7,7
SB044,Forest,Agriculture,Active,31,Total,Richness_OTU,136.793,141.978,47.474,41.581,12,10
SB106,Forest,Deforestation,Active,3,Total,Richness_OTU,140,176,14,17.6,3,3
SB106,Forest,Deforestation,Active,4,Total,Richness_OTU,158,176,15.8,17.6,3,3
SB120,Forest,Others,Passive,1,Total,Richness_OTU,271,232,27.1,23.2,4,4
SB120,Forest,Others,Passive,2,Total,Richness_OTU,305,232,30.5,23.2,4,4
SB120,Forest,Others,Passive,2,Total,Richness_OTU,319,232,31.9,23.2,4,4
SB120,Forest,Mining,Passive,20,Total,Richness_OTU,296,232,29.6,23.2,4,4
SB056,Forest,Deforestation,Active,43,Total,Richness_OTU,222,259,22.2,25.9,5,5
SB152,Grassland,Agriculture,Passive,2,Total,Richness_OTU,336.254,333.62,30.94900992,17.90867499,15,15
SB152,Grassland,Agriculture,Passive,10,Total,Richness_OTU,346.455,333.62,19.43850341,17.90867499,15,15
SB152,Grassland,Agriculture,Passive,20,Total,Richness_OTU,369.492,333.62,31.19688085,17.90867499,15,15
SB064,Forest,Mining,Active,12,Total,Richness_OTU,369,348,36.9,34.8,4,4
SB050,Grassland,Pasture,Passive,5,Total,Richness_OTU,468.99,356.491,11.30336357,46.23882836,3,3
SB050,Grassland,Pasture,Passive,10,Total,Richness_OTU,593.57,356.491,40.94568109,46.23882836,3,3
SB050,Grassland,Pasture,Passive,15,Total,Richness_OTU,511.34,356.491,9.941971635,46.23882836,3,3
SB066,Grassland,Mining,Active,2,Total,Richness_OTU,428.5714286,368.75,47.940692,57.21953561,3,3
SB066,Grassland,Mining,Active,10,Total,Richness_OTU,441.0714286,368.75,117.5320191,57.21953561,3,3
SB066,Grassland,Mining,Active,15,Total,Richness_OTU,568.75,368.75,44.84774412,57.21953561,3,3
SB066,Grassland,Mining,Active,32,Total,Richness_OTU,518.75,368.75,24.74358297,57.21953561,3,3
SB038,Forest,Agriculture,Active,60,Total,Richness_OTU,341.803,369.344,21.01150835,23.85033962,3,3
SB038,Forest,Agriculture,Active,60,Total,Richness_OTU,393.606,369.344,23.28222696,23.85033962,3,3
SB012,Forest,Deforestation,Passive,17,Total,Richness_OTU,389.916,382.352,64.04084656,98.97284725,12,12
SB012,Forest,Deforestation,Passive,12,Total,Richness_OTU,277.31,382.352,69.86400137,98.97284725,12,12
SB112,Forest,Deforestation,Passive,6,Total,Richness_OTU,278,395,9,17,3,3
SB112,Forest,Deforestation,Passive,6,Total,Richness_OTU,400,395,25,17,3,3
SB112,Forest,Deforestation,Passive,6,Total,Richness_OTU,408,395,9,17,3,3
SB112,Forest,Deforestation,Passive,6,Total,Richness_OTU,318,395,30,17,3,3
SB075,Grassland,Pasture,Passive,9,Total,Richness_OTU,443.2,461.2,46.06300034,39.13118961,5,5
SB075,Grassland,Pasture,Active,9,Total,Richness_OTU,437.6,461.2,32.13229684,39.13118961,5,5
SB104,Forest,Agriculture,Active,7,Total,Richness_OTU,363,467,36.3,46.7,3,3
SB066,Grassland,Mining,Active,2,Total,Richness_OTU,441.6167665,542.2155689,56.0064333,60.67363607,3,3
SB066,Grassland,Mining,Active,10,Total,Richness_OTU,429.9401198,542.2155689,183.5766425,60.67363607,3,3
SB066,Grassland,Mining,Active,15,Total,Richness_OTU,393.1137725,542.2155689,76.23097866,60.67363607,3,3
SB066,Grassland,Mining,Active,32,Total,Richness_OTU,332.9341317,542.2155689,91.78832124,60.67363607,3,3
SB176,Grassland,Pasture,Passive,3.5,Total,Richness_OTU,354.1284,599.5413,51.43103,118.29018,168,168
SB176,Grassland,Pasture,Passive,8,Total,Richness_OTU,466.5138,599.5413,50.40528,118.29018,168,168
SB176,Grassland,Pasture,Passive,19.5,Total,Richness_OTU,524.3119,599.5413,187.55311,118.29018,168,168
SB090,Forest,Agriculture,Passive,110,Total,Richness_OTU,902,621,98,126,4,4
SB090,Forest,Agriculture,Passive,30,Total,Richness_OTU,768,621,110,126,4,4
SB090,Forest,Agriculture,Passive,15,Total,Richness_OTU,847,621,44,126,4,4
SB090,Forest,Agriculture,Passive,50,Total,Richness_OTU,860,621,48,126,4,4
SB105,Forest,Deforestation,Active,50,Total,Richness_OTU,635.489,645.104,185.365,140.23,25,25
SB151,Grassland,Pasture,Passive,20,Total,Richness_OTU,449.577,679.085,61.37695242,47.75090871,3,3
SB073,Forest,Mining,Active,5,Total,Richness_OTU,683.836,688.184,171.4196543,52.88875881,18,18
SB030,Forest,Deforestation,Active,26,Total,Richness_OTU,612.977,816.793,77.72517739,187.8415022,8,8
SB040,Forest,Deforestation,Active,30,Total,Richness_OTU,501,831,27.71281292,60.62177826,3,3
SB071,Forest,Agriculture,Passive,5,Total,Richness_OTU,729.6,834.4,72.96,83.44,5,5
SB071,Forest,Agriculture,Passive,17.5,Total,Richness_OTU,764.2,834.4,76.42,83.44,5,5
SB071,Forest,Agriculture,Passive,35,Total,Richness_OTU,882.4,834.4,88.24,83.44,5,5
