ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB001,Forest,Mining,Active,2,Total,PLFA content,1.278,0.023,0.1278,0.0023,3,3
SB001,Forest,Mining,Active,3,Total,PLFA content,1.584,0.023,0.1584,0.0023,3,3
SB001,Forest,Mining,Active,5,Total,PLFA content,1.796,0.023,0.1796,0.0023,3,3
SB111,Grassland,Mining,Active,15,Total,PLFA content,4.79,0.08,1.423024947,0.126491106,10,10
SB111,Grassland,Mining,Active,15,Total,PLFA content,8.61,0.08,0.411096096,0.126491106,10,10
SB061,Forest,Erosion,Passive,4,Total,PLFA content,0.761,0.091,0.112583302,0.078,3,4
SB061,Forest,Erosion,Passive,7,Total,PLFA content,1.509,0.091,0.045033321,0.078,3,4
SB061,Forest,Erosion,Passive,10,Total,PLFA content,2.809,0.091,0.045033321,0.078,3,4
SB061,Forest,Erosion,Passive,13,Total,PLFA content,3.426,0.091,0.135099963,0.078,3,4
SB061,Forest,Erosion,Passive,35,Total,PLFA content,4.201,0.091,0.135099963,0.078,3,4
SB042,Forest,Erosion,Active,57,Total,PLFA content,7.22,0.12,0.832826513,0,6,7
SB042,Forest,Erosion,Active,57,Total,PLFA content,1.42,0.12,0.440908154,0,6,7
SB005,Grassland,Agriculture,Passive,3,Total,PLFA content,0.238,0.235,0.028,0.018,3,3
SB005,Grassland,Agriculture,Passive,5,Total,PLFA content,0.259,0.235,0.01,0.018,3,3
SB005,Grassland,Agriculture,Passive,10,Total,PLFA content,0.223,0.235,0.017,0.018,3,3
SB005,Grassland,Agriculture,Passive,13,Total,PLFA content,0.255,0.235,0.06,0.018,3,3
SB005,Grassland,Agriculture,Passive,15,Total,PLFA content,0.399,0.235,0.148,0.018,3,3
SB005,Grassland,Agriculture,Passive,20,Total,PLFA content,0.345,0.235,0.076,0.018,3,3
SB005,Grassland,Agriculture,Passive,30,Total,PLFA content,0.339,0.235,0.042,0.018,3,3
SB011,Forest,Agriculture,Active,30,Total,PLFA content,0.42,0.27,0.124707658,0.01,3,4
SB011,Forest,Agriculture,Active,30,Total,PLFA content,0.306,0.27,0,0.01,3,4
SB011,Forest,Agriculture,Passive,30,Total,PLFA content,0.358,0.27,0.08,0.01118034,4,5
SB043,Grassland,Agriculture,Passive,3,Total,PLFA content,0.256,0.288,0.017146428,0.058206529,6,7
SB043,Grassland,Agriculture,Passive,8,Total,PLFA content,0.317,0.288,0.031843367,0.058206529,6,7
SB043,Grassland,Agriculture,Passive,13,Total,PLFA content,0.322,0.288,0.026944387,0.058206529,6,7
SB043,Grassland,Agriculture,Passive,18,Total,PLFA content,0.416,0.288,0.115126018,0.058206529,6,7
SB043,Grassland,Agriculture,Passive,23,Total,PLFA content,0.497,0.288,0.195959179,0.058206529,6,7
SB043,Grassland,Agriculture,Passive,30,Total,PLFA content,0.54,0.288,0.09797959,0.058206529,6,7
SB018,Forest,Deforestation,Active,15,Total,PLFA content,1.843,0.516,0.267,0.061,5,5
SB018,Forest,Deforestation,Active,15,Total,PLFA content,1.447,0.516,0.329,0.061,5,5
SB010,Grassland,Agriculture,Passive,3,Total,PLFA content,0.621,0.796,0.046,0.176,3,3
SB010,Grassland,Agriculture,Passive,5,Total,PLFA content,0.373,0.796,0.066,0.0796,3,3
SB010,Grassland,Agriculture,Passive,10,Total,PLFA content,0.309,0.796,0.044,0.0796,3,3
SB010,Grassland,Agriculture,Passive,13,Total,PLFA content,0.427,0.796,0.073,0.0796,3,3
SB157,Forest,Monoculture plantation,Active,4,Total,PLFA content,1.03,0.84,0.09,0.11,3,3
SB157,Forest,Monoculture plantation,Active,7,Total,PLFA content,1.28,0.84,0.06,0.11,3,3
SB157,Forest,Monoculture plantation,Active,11,Total,PLFA content,1.53,0.84,0.19,0.11,3,3
SB013,Forest,Agriculture,Active,40,Total,PLFA content,0.51,0.88,0.051,0.088,3,4
SB013,Forest,Agriculture,Active,40,Total,PLFA content,0.52,0.88,0.052,0.088,3,4
SB013,Forest,Agriculture,Active,40,Total,PLFA content,0.62,0.88,0.062,0.088,3,4
SB013,Forest,Agriculture,Active,40,Total,PLFA content,0.6,0.88,0.06,0.088,3,4
SB013,Forest,Agriculture,Active,40,Total,PLFA content,0.74,0.88,0.074,0.088,3,4
SB013,Forest,Agriculture,Active,40,Total,PLFA content,0.77,0.88,0.077,0.088,3,4
SB013,Forest,Agriculture,Active,40,Total,PLFA content,0.65,0.88,0.065,0.088,3,4
