ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB183,Forest,Deforestation,Active,64,Total,PLFA content,0.14,0.24,0.04472136,0.067082039,5,5
SB183,Forest,Deforestation,Active,64,Total,PLFA content,0.31,0.24,0.089442719,0.067082039,5,5
SB042,Forest,Erosion,Active,57,Total,PLFA content,7.22,0.59,0.832826513,0.685857128,6,6
SB003,Grassland,Mining,Passive,5,Total,PLFA content,0.806,0.593,0.284056332,0.168008928,3,3
SB003,Grassland,Mining,Passive,10,Total,PLFA content,0.911,0.593,0.249415316,0.168008928,3,3
SB003,Grassland,Mining,Passive,16,Total,PLFA content,0.793,0.593,0.157616623,0.168008928,3,3
SB085,Forest,Monoculture plantation,Passive,14,Total,PLFA content,0.6,0.81,0.06,0.081,6,6
SB085,Forest,Deforestation,Passive,49,Total,PLFA content,0.42,0.81,0.042,0.081,6,6
SB003,Grassland,Mining,Passive,1.5,Total,PLFA content,0.228,0.926,0.053693575,0.200917894,3,3
SB003,Grassland,Mining,Passive,14,Total,PLFA content,0.756,0.926,0.109119201,0.200917894,3,3
SB003,Grassland,Mining,Passive,26,Total,PLFA content,0.763,0.926,0.112583302,0.200917894,3,3
SB008,Forest,Mining,Active,2,Total,PLFA content,4.431,3.386,1.612539302,1.141421482,3,3
SB008,Forest,Mining,Active,23,Total,PLFA content,7.795,3.386,4.092836058,1.141421482,3,3
SB008,Forest,Mining,Active,30,Total,PLFA content,3.636,3.386,0.393175533,1.141421482,3,3
SB008,Forest,Mining,Active,2,Total,PLFA content,6.181,3.386,1.299038106,1.141421482,3,3
SB008,Forest,Mining,Active,23,Total,PLFA content,8.659,3.386,2.203168627,1.141421482,3,3
SB008,Forest,Mining,Active,30,Total,PLFA content,2.318,3.386,0.313501196,1.141421482,3,3
SB008,Forest,Mining,Active,2,Total,PLFA content,5.931,3.386,2.282842964,1.141421482,3,3
SB008,Forest,Mining,Active,23,Total,PLFA content,7.227,3.386,3.148868368,1.141421482,3,3
SB008,Forest,Mining,Active,30,Total,PLFA content,3.386,3.386,1.141421482,1.141421482,3,3
SB164,Forest,Agriculture,Passive,40,Total,PLFA content,3.1,3.6,0.6,0.61,8,8
SB164,Forest,Agriculture,Passive,40,Total,PLFA content,2.4,3.6,0.6,0.61,8,8
SB086,Forest,Deforestation,Passive,1,Total,PLFA content,2.272,3.829,1.021437223,1.579920884,6,6
SB086,Forest,Deforestation,Passive,10,Total,PLFA content,2.867,3.829,0.619720905,1.579920884,6,6
SB086,Forest,Deforestation,Passive,20,Total,PLFA content,4.221,3.829,1.641158128,1.579920884,6,6
SB061,Forest,Erosion,Passive,4,Total,PLFA content,0.761,5.442,0.112583302,0.453797312,3,3
SB061,Forest,Erosion,Passive,7,Total,PLFA content,1.509,5.442,0.045033321,0.453797312,3,3
SB061,Forest,Erosion,Passive,10,Total,PLFA content,2.809,5.442,0.045033321,0.453797312,3,3
SB061,Forest,Erosion,Passive,13,Total,PLFA content,3.426,5.442,0.135099963,0.453797312,3,3
SB061,Forest,Erosion,Passive,35,Total,PLFA content,4.201,5.442,0.135099963,0.453797312,3,3
SB042,Forest,Erosion,Active,57,Total,PLFA content,1.42,6.59,0.440908154,0.685857128,6,6
SB001,Forest,Mining,Active,2,Total,PLFA content,1.278,6.87,0.1278,0.687,3,3
SB001,Forest,Mining,Active,3,Total,PLFA content,1.584,6.87,0.1584,0.687,3,3
SB001,Forest,Mining,Active,5,Total,PLFA content,1.796,6.87,0.1796,0.687,3,3
SB002,Forest,Agriculture,Passive,18,Total,PLFA content,2.43,11.65,0.587877538,1.073871501,6,3
SB138,Forest,Agriculture,Active,15,Total,PLFA content,7.605,11.83,2.451677997,4.257212821,21,21
SB138,Forest,Agriculture,Passive,15,Total,PLFA content,8.084,11.83,2.062159063,4.257212821,21,21
SB110,Forest,Deforestation,Active,59,Total,PLFA content,17,14,1.7,1.4,5,5
SB110,Forest,Deforestation,Active,59,Total,PLFA content,18,14,1.8,1.4,5,5
SB023,Grassland,Agriculture,Passive,12,Total,PLFA content,15,14.9,1.5,1.49,3,3
SB023,Grassland,Agriculture,Passive,6,Total,PLFA content,14.2,14.9,1.42,1.49,3,3
SB014,Forest,Agriculture,Active,9,Total,PLFA content,15.2,22.9,5.2,8.2,4,4
SB014,Forest,Agriculture,Active,10,Total,PLFA content,19.4,22.9,4.8,8.2,4,4
SB014,Forest,Agriculture,Active,14,Total,PLFA content,18.7,22.9,4.8,8.2,4,4
SB014,Forest,Agriculture,Active,23,Total,PLFA content,55.2,22.9,8.2,8.2,4,4
SB009,Grassland,Mining,Passive,17.5,Total,PLFA content,86.05,53.605,8.605,5.3605,5,5
SB009,Grassland,Mining,Passive,3.5,Total,PLFA content,52.194,53.605,5.2194,5.3605,5,5
SB009,Forest,Mining,Passive,17.5,Total,PLFA content,292.006,105.799,29.2006,10.5799,5,5
SB009,Forest,Mining,Passive,3.5,Total,PLFA content,78.996,105.799,7.8996,10.5799,5,5
SB009,Grassland,Mining,Passive,17.5,Total,PLFA content,66.3,351.253,6.63,35.1253,5,5
