ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Degraded_Mean,Restored_SD,Degraded_SD,Restored_SS,Degraded_SS
SB068,Forest,Agriculture,Passive,60,Total,Shannon index,4.129,0.078,0.4129,0.0078,3,4
SB127,Grassland,Pasture,Active,4,Total,Shannon index,1.031,0.256,0.34294606,0.294,3,4
SB047,Forest,Mining,Active,3,Total,Shannon index,2.28,0.82,0.491934955,0.59573484,20,21
SB047,Forest,Mining,Active,4,Total,Shannon index,1.72,1.05,0.804984472,0.045825757,20,21
SB163,Forest,Monoculture plantation,Active,11,Total,Shannon index,2.3455056,1.5365169,0.29461464,0.34986022,9,9
SB052,Grassland,Others,Passive,12,Total,Shannon index,1.852,1.894,0.758,0.968217434,4,5
SB052,Grassland,Others,Passive,30,Total,Shannon index,3.323,1.894,1.164,0.968217434,4,5
SB075,Grassland,Pasture,Passive,9,Total,Shannon index,3.21,2.22,0.760263112,1.518683641,5,6
SB075,Grassland,Pasture,Active,9,Total,Shannon index,3.14,2.22,0.715541753,1.518683641,5,6
SB172,Grassland,Pasture,Active,3,Total,Shannon index,2.514375,2.2725,0.4989137,0.633851,8,8
SB104,Forest,Agriculture,Active,7,Total,Shannon index,3.45,2.29,0.345,0.229,3,4
SB096,Forest,Erosion,Active,2.5,Total,Shannon index,3.13,2.419,1.662768775,0.748,3,4
SB074,Forest,Monoculture plantation,Active,12,Total,Shannon index,3.512,2.47,0.368,0.223606798,4,5
SB182,Grassland,Agriculture,Active,7,Total,Shannon index,2.31671,2.524763,0.12550823,0.03260514,5,5
SB182,Grassland,Agriculture,Active,7,Total,Shannon index,2.471465,2.524763,0.1290233,0.03260514,5,5
SB074,Forest,Monoculture plantation,Active,12,Total,Shannon index,3.041,2.621,0.2,0.149816554,4,5
SB056,Forest,Deforestation,Active,43,Total,Shannon index,3.023,2.629,0.292924905,0.563382641,5,6
SB177,Forest,Erosion,Active,37,Total,Shannon index,4.89,2.65,0.173205081,0.36373067,3,3
SB058,Grassland,Mining,Active,5,Total,Shannon index,3.42,2.74,0.342,0.274,3,4
SB058,Grassland,Mining,Active,5,Total,Shannon index,3.33,2.74,0.333,0.274,3,4
SB058,Grassland,Mining,Active,5,Total,Shannon index,3.23,2.74,0.323,0.274,3,4
SB058,Grassland,Mining,Active,5,Total,Shannon index,4.18,2.74,0.418,0.274,3,4
SB058,Grassland,Mining,Active,5,Total,Shannon index,2.85,2.74,0.285,0.274,3,4
SB058,Grassland,Mining,Active,5,Total,Shannon index,3.72,2.74,0.372,0.274,3,4
SB078,Forest,Erosion,Active,1,Total,Shannon index,2.51,2.762,0.344678111,1.342,3,4
SB078,Forest,Erosion,Active,6,Total,Shannon index,2.31,2.762,0.521347293,1.342,3,4
SB078,Forest,Erosion,Active,11,Total,Shannon index,2.274,2.762,0.280592231,1.342,3,4
SB078,Forest,Erosion,Active,16,Total,Shannon index,3.74,2.762,0.252879418,1.342,3,4
SB021,Forest,Erosion,Active,12,Total,Shannon index,3.242,2.782,0.114039467,0.212426458,5,5
SB021,Forest,Erosion,Active,29,Total,Shannon index,2.394,2.782,0.257147817,0.212426458,5,5
SB021,Forest,Erosion,Active,53,Total,Shannon index,2.657,2.782,0.295160973,0.212426458,5,5
SB174,Forest,Deforestation,Active,50,Total,Shannon index,3.62,2.83,0.69,1.14,4,4
SB174,Forest,Deforestation,Active,35,Total,Shannon index,2.74,2.83,0.6,1.14,4,4
SB088,Grassland,Mining,Active,5,Total,Shannon index,2.142857,2.884972,0.3526267,0.7052534,5,5
SB088,Grassland,Mining,Active,10,Total,Shannon index,3.339518,2.884972,0.8919381,0.7052534,5,5
SB088,Grassland,Mining,Active,15,Total,Shannon index,3.961039,2.884972,1.8253616,0.7052534,5,5
SB088,Grassland,Mining,Active,20,Total,Shannon index,2.820037,2.884972,0.6637679,0.7052534,5,5
SB123,Forest,Monoculture plantation,Active,40,Total,Shannon index,2.416,2.933,0.157616623,0.316,3,4
SB123,Forest,Monoculture plantation,Active,40,Total,Shannon index,2.349,2.933,0.216506351,0.316,3,4
SB123,Forest,Monoculture plantation,Active,20,Total,Shannon index,2.416,3.116,0.157616623,0.132,3,4
SB123,Forest,Monoculture plantation,Active,20,Total,Shannon index,2.349,3.116,0.216506351,0.132,3,4
SB179,Forest,Pasture,Active,7,Total,Shannon index,4.236453,3.165025,0.6825816,0.83189632,3,3
SB179,Forest,Pasture,Active,7,Total,Shannon index,3.362069,3.165025,0,0.83189632,3,3
SB179,Forest,Pasture,Active,7,Total,Shannon index,4.55665,3.165025,0.2559681,0.83189632,3,3
SB179,Forest,Pasture,Active,7,Total,Shannon index,3.817734,3.165025,0.06399202,0.83189632,3,3
SB179,Forest,Pasture,Active,7,Total,Shannon index,3.756158,3.165025,0.38395215,0.83189632,3,3
SB133,Grassland,Pasture,Active,31,Total,Shannon index,3.36,3.26,0.346410162,0.94,3,4
SB133,Grassland,Pasture,Active,48,Total,Shannon index,3.63,3.26,0.658179307,0.94,3,4
SB028,Forest,Agriculture,Active,15,Total,Shannon index,2.74,3.3,0.155884573,0.04,3,4
SB028,Forest,Agriculture,Active,30,Total,Shannon index,2.77,3.3,0.467653718,0.04,3,4
SB028,Forest,Agriculture,Active,45,Total,Shannon index,2.72,3.3,0.571576766,0.04,3,4
SB171,Grassland,Mining,Active,2,Total,Shannon index,4.21,3.33,0.29,0.58,7,7
SB171,Grassland,Mining,Active,6,Total,Shannon index,3.79,3.33,0.35,0.58,7,7
SB054,Forest,Agriculture,Passive,10,Total,Shannon index,3.382,3.357,0.187061487,0.158,3,4
SB054,Forest,Agriculture,Passive,20,Total,Shannon index,3.37,3.357,0.109119201,0.158,3,4
SB054,Forest,Agriculture,Passive,30,Total,Shannon index,3.372,3.357,0.2147743,0.158,3,4
SB054,Forest,Agriculture,Passive,40,Total,Shannon index,3.791,3.357,0.213042249,0.158,3,4
SB054,Forest,Agriculture,Passive,50,Total,Shannon index,3.895,3.357,0.199185843,0.158,3,4
SB148,Grassland,Pasture,Passive,5,Total,Shannon index,4.326,3.384,0.4326,0.3384,1,2
SB148,Grassland,Pasture,Passive,13,Total,Shannon index,3.3353,3.384,0.33353,0.3384,1,2
SB148,Grassland,Pasture,Passive,22,Total,Shannon index,3.608,3.384,0.3608,0.3384,1,2
SB148,Grassland,Pasture,Passive,39,Total,Shannon index,3.6086,3.384,0.36086,0.3384,1,2
SB161,Forest,Pasture,Passive,20,Total,Shannon index,3.15864,3.488669,0.1921664,0.4043058,9,9
SB096,Forest,Erosion,Active,2.5,Total,Shannon index,4.216,3.542,1.165670193,1.022,3,4
SB059,Forest,Agriculture,Passive,30,Total,Shannon index,3.3,3.6,0.866025404,0.8,3,4
SB059,Forest,Agriculture,Passive,60,Total,Shannon index,4.2,3.6,0.346410162,0.8,3,4
SB059,Forest,Agriculture,Passive,110,Total,Shannon index,3.3,3.6,0.519615242,0.8,3,4
SB184,Grassland,Pasture,Active,5,Total,Shannon index,3.664136,3.646037,0.6651369,0.4223307,9,8
SB184,Grassland,Pasture,Active,10,Total,Shannon index,3.822502,3.646037,0.6649984,0.4223307,6,8
SB147,Grassland,Agriculture,Active,35,Total,Shannon index,4.327,3.687,0.452065261,0.888,3,4
SB147,Grassland,Agriculture,Passive,34,Total,Shannon index,3.754,3.687,1.096388161,0.888,3,4
SB072,Forest,Monoculture plantation,Active,2,Total,Shannon index,3.76,3.72,0.75934182,0.449777723,6,7
SB072,Forest,Monoculture plantation,Active,2,Total,Shannon index,3.98,3.72,0.979795897,0.449777723,6,7
SB041,Grassland,Agriculture,Active,17,Total,Shannon index,4.07,3.73,0.407,0.373,3,4
SB041,Grassland,Agriculture,Active,27,Total,Shannon index,4.04,3.73,0.404,0.373,3,4
SB041,Grassland,Agriculture,Active,42,Total,Shannon index,4.19,3.73,0.419,0.373,3,4
SB155,Forest,Erosion,Active,43,Total,Shannon index,4.48,3.75,0.12,0.14,4,4
SB155,Forest,Erosion,Active,43,Total,Shannon index,4.75,3.75,0.12,0.14,4,4
SB155,Forest,Erosion,Active,43,Total,Shannon index,5.33,3.75,0.14,0.14,4,4
SB132,Forest,Erosion,Active,57,Total,Shannon index,2.83,3.768,0.546,0.156524758,4,5
SB132,Forest,Erosion,Active,57,Total,Shannon index,3.734,3.768,0.366,0.156524758,4,5
SB132,Forest,Erosion,Active,57,Total,Shannon index,3.254,3.768,0.348,0.156524758,4,5
SB068,Forest,Agriculture,Passive,7.5,Total,Shannon index,3.83,3.874,0.383,0.3874,3,4
SB068,Forest,Agriculture,Passive,30,Total,Shannon index,4.253,3.874,0.4253,0.3874,3,4
SB070,Forest,Agriculture,Passive,7.5,Total,Shannon index,4.273,3.885,0.55772036,1.784,3,4
SB070,Forest,Agriculture,Passive,30,Total,Shannon index,4.232,3.885,2.239541694,1.784,3,4
SB070,Forest,Agriculture,Passive,60,Total,Shannon index,4.154,3.885,1.11544072,1.784,3,4
SB027,Grassland,Pasture,Passive,10,Total,Shannon index,4.03,3.92,0.329089653,0.26,3,4
SB027,Grassland,Pasture,Passive,25,Total,Shannon index,4.84,3.92,0.207846097,0.26,3,4
SB027,Grassland,Pasture,Passive,35,Total,Shannon index,3.26,3.92,0.311769145,0.26,3,4
SB098,Grassland,Pasture,Active,1,Total,Shannon index,4.09,3.92,0.06,0.648459713,4,5
SB098,Grassland,Pasture,Active,5,Total,Shannon index,4.04,3.92,0.2,0.648459713,4,5
SB098,Grassland,Pasture,Active,10,Total,Shannon index,2.79,3.92,1.3,0.648459713,4,5
SB142,Forest,Monoculture plantation,Active,5,Total,Shannon index,6.23,3.93,0.71,2.32,3,3
SB142,Forest,Monoculture plantation,Active,10,Total,Shannon index,5.1,3.93,1.31,2.32,3,3
SB092,Forest,Agriculture,Active,15,Total,Shannon index,4.147,3.945,0.441234631,0.017435596,18,19
SB092,Forest,Agriculture,Passive,15,Total,Shannon index,4.229,3.945,0.386080303,0.017435596,18,19
SB050,Grassland,Pasture,Passive,5,Total,Shannon index,4.249,3.983,0.17147303,1.052,3,4
SB050,Grassland,Pasture,Passive,10,Total,Shannon index,4.532,3.983,0.067549981,1.052,3,4
SB050,Grassland,Pasture,Passive,15,Total,Shannon index,4.268,3.983,0.197453792,1.052,3,4
SB092,Forest,Agriculture,Active,15,Total,Shannon index,4.287,3.984,0.398808225,0.396659804,18,19
