ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB083,Forest,Agriculture,Passive,10,Total,Shannon index,0.145,0.301,0.0145,0.0301,3,3
SB083,Forest,Agriculture,Passive,29,Total,Shannon index,0.227,0.301,0.0227,0.0301,3,3
SB083,Forest,Agriculture,Passive,59,Total,Shannon index,0.199,0.301,0.0199,0.0301,3,3
SB127,Grassland,Pasture,Active,4,Total,Shannon index,1.031,0.886,0.34294606,0.327357603,3,3
SB172,Grassland,Pasture,Active,3,Total,Shannon index,2.514375,2.039375,0.4989137,0.5001662,8,8
SB048,Grassland,Deforestation,Passive,38,Total,Shannon index,4.29,2.39,0.398371686,0.242487113,3,3
SB048,Grassland,Deforestation,Passive,58,Total,Shannon index,3.6,2.39,0.484974226,0.242487113,3,3
SB021,Forest,Erosion,Active,12,Total,Shannon index,3.242,2.714,0.114039467,0.333174129,5,5
SB021,Forest,Erosion,Active,29,Total,Shannon index,2.394,2.714,0.257147817,0.333174129,5,5
SB021,Forest,Erosion,Active,53,Total,Shannon index,2.657,2.714,0.295160973,0.333174129,5,5
SB166,Forest,Deforestation,Passive,40,Total,Shannon index,3.94589552,2.89179104,0.88116363,0.75974477,5,5
SB166,Forest,Deforestation,Active,40,Total,Shannon index,4.07782516,2.89179104,0.16962375,0.75974477,5,5
SB059,Forest,Agriculture,Passive,30,Total,Shannon index,3.3,3,0.866025404,0.519615242,3,3
SB059,Forest,Agriculture,Passive,60,Total,Shannon index,4.2,3,0.346410162,0.519615242,3,3
SB059,Forest,Agriculture,Passive,110,Total,Shannon index,3.3,3,0.519615242,0.519615242,3,3
SB098,Grassland,Pasture,Active,1,Total,Shannon index,4.09,3.05,0.06,0.32,4,4
SB098,Grassland,Pasture,Active,5,Total,Shannon index,4.04,3.05,0.2,0.32,4,4
SB098,Grassland,Pasture,Active,10,Total,Shannon index,2.79,3.05,1.3,0.32,4,4
SB106,Forest,Deforestation,Active,3,Total,Shannon index,2.31,3.11,0.231,0.311,3,3
SB050,Grassland,Pasture,Passive,5,Total,Shannon index,4.249,3.279,0.17147303,0.152420471,3,3
SB050,Grassland,Pasture,Passive,10,Total,Shannon index,4.532,3.279,0.067549981,0.152420471,3,3
SB050,Grassland,Pasture,Passive,15,Total,Shannon index,4.268,3.279,0.197453792,0.152420471,3,3
SB171,Grassland,Mining,Active,2,Total,Shannon index,4.21,3.36,0.29,0.51,7,7
SB171,Grassland,Mining,Active,6,Total,Shannon index,3.79,3.36,0.35,0.51,7,7
SB056,Forest,Deforestation,Active,43,Total,Shannon index,3.023,3.45,0.292924905,0.623862966,5,5
SB090,Forest,Agriculture,Passive,110,Total,Shannon index,4.52,3.59,0.4,0.34,4,4
SB090,Forest,Agriculture,Passive,30,Total,Shannon index,4.64,3.59,0.46,0.34,4,4
SB090,Forest,Agriculture,Passive,15,Total,Shannon index,4.36,3.59,0.5,0.34,4,4
SB090,Forest,Agriculture,Passive,50,Total,Shannon index,4.95,3.59,0.12,0.34,4,4
SB161,Forest,Pasture,Passive,20,Total,Shannon index,3.15864,3.641643,0.1921664,0.4528493,9,9
SB183,Forest,Deforestation,Active,64,Total,Shannon index,3.736136,3.652626,0.3736136,0.3652626,5,5
SB183,Forest,Deforestation,Active,64,Total,Shannon index,3.443852,3.652626,0.3443852,0.3652626,5,5
SB106,Forest,Deforestation,Active,4,Total,Shannon index,3.55,3.67,0.355,0.367,3,3
SB075,Grassland,Pasture,Passive,9,Total,Shannon index,3.21,3.84,0.760263112,0.156524758,5,5
SB075,Grassland,Pasture,Active,9,Total,Shannon index,3.14,3.84,0.715541753,0.156524758,5,5
SB084,Forest,Mining,Passive,1,Total,Shannon index,4.255,4.071,0.4255,0.4071,6,6
SB084,Forest,Mining,Passive,2,Total,Shannon index,4.409,4.071,0.4409,0.4071,6,6
SB084,Forest,Mining,Passive,5,Total,Shannon index,4.363,4.071,0.4363,0.4071,6,6
SB084,Forest,Mining,Passive,10,Total,Shannon index,3.94,4.071,0.394,0.4071,6,6
