ID,Ecosystem,Prior_land_use,Restoration_strategy,Restoration_time,Fungal group,Metrics,Restored_Mean,Reference_Mean,Restored_SD,Reference_SD,Restored_SS,Reference_SS
SB083,Forest,Agriculture,Passive,10,Total,Simpson index,0.004,0.0034,0.0004,0.00034,3,3
SB083,Forest,Agriculture,Passive,29,Total,Simpson index,0.002,0.0034,0.0002,0.00034,3,3
SB083,Forest,Agriculture,Passive,59,Total,Simpson index,0.001,0.0034,0.0001,0.00034,3,3
SB040,Forest,Deforestation,Active,30,Total,Simpson index,0.1518,0.0343,0.037585503,0.007794229,3,3
SB171,Grassland,Mining,Active,2,Total,Simpson index,0.04,0.09,0.02,0.05,7,7
SB171,Grassland,Mining,Active,6,Total,Simpson index,0.06,0.09,0.03,0.05,7,7
SB090,Forest,Agriculture,Passive,110,Total,Simpson index,0.045,0.0951,0.0306,0.0548,4,4
SB090,Forest,Agriculture,Passive,30,Total,Simpson index,0.0327,0.0951,0.0218,0.0548,4,4
SB090,Forest,Agriculture,Passive,15,Total,Simpson index,0.068,0.0951,0.055,0.0548,4,4
SB090,Forest,Agriculture,Passive,50,Total,Simpson index,0.0183,0.0951,0.0026,0.0548,4,4
SB166,Forest,Deforestation,Passive,40,Total,Simpson index,0.08844581,0.13784509,0.09543783,0.10119396,5,5
SB166,Forest,Deforestation,Active,40,Total,Simpson index,0.05099693,0.13784509,0.01119341,0.10119396,5,5
SB021,Forest,Erosion,Active,12,Total,Simpson index,0.086,0.139,0.020124612,0.035777088,5,5
SB021,Forest,Erosion,Active,29,Total,Simpson index,0.229,0.139,0.038013156,0.035777088,5,5
SB021,Forest,Erosion,Active,53,Total,Simpson index,0.163,0.139,0.035777088,0.035777088,5,5
SB048,Grassland,Deforestation,Passive,38,Total,Simpson index,0.0435,0.3139,0.023902301,0.065817931,3,3
SB048,Grassland,Deforestation,Passive,58,Total,Simpson index,0.1025,0.3139,0.077942286,0.065817931,3,3
SB119,Grassland,Mining,Active,4,Total,Simpson index,0.321,0.561,0.116275535,0.131928011,5,5
SB119,Grassland,Mining,Active,4,Total,Simpson index,0.49,0.561,0.185593642,0.131928011,5,5
SB114,Forest,Deforestation,Passive,30,Total,Simpson index,0.77,0.86,0.225166605,0.08660254,3,3
SB114,Forest,Deforestation,Passive,30,Total,Simpson index,0.89,0.86,0.034641016,0.08660254,3,3
SB114,Forest,Deforestation,Passive,30,Total,Simpson index,0.94,0.86,0,0.08660254,3,3
SB146,Forest,Erosion,Active,25,Total,Simpson index,0.89,0.9,0.081406388,0.051961524,3,3
SB146,Forest,Erosion,Active,25,Total,Simpson index,0.94,0.9,0.017320508,0.051961524,3,3
SB093,Forest,Mining,Active,10,Total,Simpson index,0.886,0.926,0.0886,0.0926,7,7
SB093,Forest,Mining,Active,10,Total,Simpson index,0.906,0.926,0.0906,0.0926,7,7
SB093,Forest,Mining,Active,10,Total,Simpson index,0.82,0.926,0.082,0.0926,7,7
SB093,Forest,Mining,Active,10,Total,Simpson index,0.801,0.926,0.0801,0.0926,7,7
SB093,Forest,Mining,Active,10,Total,Simpson index,0.876,0.926,0.0876,0.0926,7,7
SB117,Forest,Deforestation,Passive,20,Total,Simpson index,0.867,0.93,0.206114046,0.069282032,3,3
SB117,Forest,Deforestation,Passive,32,Total,Simpson index,0.925,0.93,0.036373067,0.069282032,3,3
